Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
3,2,4.5,1.5,3.0,4.0,2.5,0.0,1.5,0.0,4.0,0.0
5,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,1.25,1.25,0.0,2.75,0.5,0.0,2.0,0.25,2.5,0.25
7,3,0.6666666666666666,0.6666666666666666,0.0,3.3333333333333335,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333,3.0,0.3333333333333333
8,2,2.0,1.5,0.5,3.5,1.0,0.0,2.0,0.5,3.0,0.5
9,2,3.0,2.5,0.5,4.5,2.0,0.0,2.0,0.5,4.0,0.5
11,1,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
13,1,3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
14,1,3.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
16,1,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
