Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
0,7,1.8571428571428572,1.4285714285714286,0.42857142857142855,2.142857142857143,1.0,0.0,1.1428571428571428,0.0,2.142857142857143,0.0
1,3,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
2,6,3.8333333333333335,2.0,1.8333333333333333,3.6666666666666665,0.8333333333333334,0.16666666666666666,2.5,0.16666666666666666,3.3333333333333335,0.3333333333333333
3,5,3.2,1.6,1.6,2.6,0.8,0.2,1.4,0.2,2.2,0.4
4,9,2.5555555555555554,1.7777777777777777,0.7777777777777778,3.6666666666666665,1.2222222222222223,0.0,2.3333333333333335,0.1111111111111111,3.5555555555555554,0.1111111111111111
5,11,1.7272727272727273,1.0909090909090908,0.6363636363636364,4.090909090909091,1.4545454545454546,0.0,2.5454545454545454,0.09090909090909091,4.0,0.09090909090909091
6,6,1.8333333333333333,1.1666666666666667,0.6666666666666666,3.6666666666666665,1.5,0.0,2.0,0.16666666666666666,3.5,0.16666666666666666
7,25,2.2,1.48,0.72,3.04,1.4,0.0,1.56,0.08,2.96,0.08
8,18,2.111111111111111,1.1111111111111112,1.0,3.111111111111111,0.9444444444444444,0.1111111111111111,1.8333333333333333,0.2222222222222222,2.7777777777777777,0.3333333333333333
9,14,1.7857142857142858,1.2857142857142858,0.5,3.0714285714285716,1.2857142857142858,0.0,1.7142857142857142,0.07142857142857142,3.0,0.07142857142857142
10,9,2.2222222222222223,1.3333333333333333,0.8888888888888888,2.5555555555555554,1.1111111111111112,0.0,1.3333333333333333,0.1111111111111111,2.4444444444444446,0.1111111111111111
11,13,2.6923076923076925,1.5384615384615385,1.1538461538461537,3.6923076923076925,1.6923076923076923,0.0,1.9230769230769231,0.07692307692307693,3.6153846153846154,0.07692307692307693
12,8,2.75,2.125,0.625,2.375,0.875,0.125,1.25,0.125,2.125,0.25
13,6,2.1666666666666665,1.6666666666666667,0.5,4.5,1.3333333333333333,0.0,3.1666666666666665,0.0,4.5,0.0
14,13,2.923076923076923,1.4615384615384615,1.4615384615384615,4.0,1.8461538461538463,0.15384615384615385,2.0,0.0,3.8461538461538463,0.15384615384615385
15,10,2.5,1.8,0.7,3.4,1.3,0.0,2.0,0.1,3.3,0.1
16,6,2.0,1.0,1.0,3.1666666666666665,1.3333333333333333,0.0,1.8333333333333333,0.0,3.1666666666666665,0.0
17,1,5.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
