Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,4.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
-2,1,5.0,5.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
-1,1,1.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
0,12,3.25,2.0,1.25,2.4166666666666665,0.75,0.0,1.6666666666666667,0.0,2.4166666666666665,0.0
1,13,3.4615384615384617,1.7692307692307692,1.6923076923076923,4.076923076923077,2.076923076923077,0.0,1.8461538461538463,0.15384615384615385,3.923076923076923,0.15384615384615385
2,17,2.588235294117647,1.588235294117647,1.0,2.8823529411764706,1.1764705882352942,0.0,1.588235294117647,0.11764705882352941,2.764705882352941,0.11764705882352941
3,14,3.142857142857143,2.0,1.1428571428571428,3.357142857142857,1.2142857142857142,0.14285714285714285,1.7857142857142858,0.21428571428571427,3.0,0.35714285714285715
4,16,1.75,0.8125,0.9375,3.25,1.1875,0.125,1.875,0.0625,3.0625,0.1875
5,22,3.0454545454545454,2.0,1.0454545454545454,3.8636363636363638,1.5454545454545454,0.09090909090909091,1.9545454545454546,0.2727272727272727,3.5,0.36363636363636365
6,17,2.235294117647059,1.5294117647058822,0.7058823529411765,2.6470588235294117,0.8823529411764706,0.0,1.6470588235294117,0.11764705882352941,2.5294117647058822,0.11764705882352941
7,26,3.0384615384615383,2.3461538461538463,0.6923076923076923,3.0384615384615383,1.1923076923076923,0.0,1.5769230769230769,0.2692307692307692,2.769230769230769,0.2692307692307692
8,26,3.076923076923077,1.9230769230769231,1.1538461538461537,3.3076923076923075,1.1923076923076923,0.038461538461538464,1.8461538461538463,0.23076923076923078,3.0384615384615383,0.2692307692307692
9,30,2.6666666666666665,1.6333333333333333,1.0333333333333334,2.933333333333333,1.1,0.0,1.7666666666666666,0.06666666666666667,2.8666666666666667,0.06666666666666667
10,21,2.7142857142857144,1.3333333333333333,1.380952380952381,2.9523809523809526,1.1904761904761905,0.0,1.619047619047619,0.14285714285714285,2.8095238095238093,0.14285714285714285
11,21,2.0476190476190474,1.380952380952381,0.6666666666666666,3.4285714285714284,1.8571428571428572,0.0,1.5238095238095237,0.047619047619047616,3.380952380952381,0.047619047619047616
12,11,3.3636363636363638,1.7272727272727273,1.6363636363636365,4.363636363636363,2.0,0.09090909090909091,2.272727272727273,0.0,4.2727272727272725,0.09090909090909091
13,17,2.5294117647058822,1.3529411764705883,1.1764705882352942,3.3529411764705883,1.1176470588235294,0.11764705882352941,1.9411764705882353,0.17647058823529413,3.0588235294117645,0.29411764705882354
14,17,2.4705882352941178,1.4705882352941178,1.0,3.588235294117647,1.7647058823529411,0.058823529411764705,1.7058823529411764,0.058823529411764705,3.4705882352941178,0.11764705882352941
15,13,2.5384615384615383,1.6923076923076923,0.8461538461538461,2.6153846153846154,1.0769230769230769,0.0,1.4615384615384615,0.07692307692307693,2.5384615384615383,0.07692307692307693
16,8,3.0,2.0,1.0,4.5,2.375,0.25,1.75,0.125,4.125,0.375
17,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,5.333333333333333,2.0,0.0,3.0,0.3333333333333333,5.0,0.3333333333333333
18,1,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
19,3,2.6666666666666665,1.3333333333333333,1.3333333333333333,4.333333333333333,2.0,0.0,2.3333333333333335,0.0,4.333333333333333,0.0
