Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,3,3.6666666666666665,2.6666666666666665,1.0,2.3333333333333335,0.6666666666666666,0.0,1.6666666666666667,0.0,2.3333333333333335,0.0
1,1,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
2,6,2.1666666666666665,2.0,0.16666666666666666,3.6666666666666665,0.6666666666666666,0.0,2.8333333333333335,0.16666666666666666,3.5,0.16666666666666666
3,5,2.6,1.8,0.8,2.8,0.8,0.2,1.6,0.2,2.4,0.4
4,6,2.1666666666666665,2.0,0.16666666666666666,3.1666666666666665,0.8333333333333334,0.0,2.3333333333333335,0.0,3.1666666666666665,0.0
5,11,2.6363636363636362,1.3636363636363635,1.2727272727272727,3.272727272727273,1.3636363636363635,0.09090909090909091,1.8181818181818181,0.0,3.1818181818181817,0.09090909090909091
6,7,4.0,3.142857142857143,0.8571428571428571,2.5714285714285716,1.4285714285714286,0.0,1.1428571428571428,0.0,2.5714285714285716,0.0
7,9,2.4444444444444446,1.7777777777777777,0.6666666666666666,2.5555555555555554,1.1111111111111112,0.0,1.4444444444444444,0.0,2.5555555555555554,0.0
8,8,2.875,2.0,0.875,2.625,1.0,0.125,1.375,0.125,2.375,0.25
9,9,2.7777777777777777,2.111111111111111,0.6666666666666666,2.888888888888889,1.0,0.0,1.7777777777777777,0.1111111111111111,2.7777777777777777,0.1111111111111111
10,6,4.0,3.1666666666666665,0.8333333333333334,2.1666666666666665,1.3333333333333333,0.0,0.8333333333333334,0.0,2.1666666666666665,0.0
11,3,3.0,2.3333333333333335,0.6666666666666666,3.6666666666666665,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.0,3.3333333333333335,0.3333333333333333
12,6,2.6666666666666665,1.6666666666666667,1.0,2.1666666666666665,1.0,0.0,1.0,0.16666666666666666,2.0,0.16666666666666666
13,4,3.75,2.25,1.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
14,4,3.75,2.25,1.5,3.5,1.75,0.0,1.5,0.25,3.25,0.25
15,1,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
16,1,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
17,2,2.0,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0
18,1,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
22,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
