Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,2,3.0,2.5,0.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
0,7,2.0,1.5714285714285714,0.42857142857142855,2.5714285714285716,0.7142857142857143,0.0,1.7142857142857142,0.14285714285714285,2.4285714285714284,0.14285714285714285
1,2,3.0,2.0,1.0,3.0,0.5,0.0,2.0,0.5,2.5,0.5
2,7,2.857142857142857,2.0,0.8571428571428571,1.2857142857142858,0.42857142857142855,0.0,0.8571428571428571,0.0,1.2857142857142858,0.0
3,8,2.5,2.0,0.5,2.25,0.625,0.0,1.625,0.0,2.25,0.0
4,3,2.3333333333333335,1.6666666666666667,0.6666666666666666,4.333333333333333,1.6666666666666667,0.0,2.3333333333333335,0.3333333333333333,4.0,0.3333333333333333
5,13,3.0,2.076923076923077,0.9230769230769231,2.769230769230769,0.9230769230769231,0.07692307692307693,1.7692307692307692,0.0,2.6923076923076925,0.07692307692307693
6,13,2.769230769230769,2.076923076923077,0.6923076923076923,2.6153846153846154,0.5384615384615384,0.0,1.9230769230769231,0.15384615384615385,2.4615384615384617,0.15384615384615385
7,10,1.8,1.2,0.6,2.3,1.2,0.0,1.0,0.1,2.2,0.1
8,11,2.727272727272727,1.5454545454545454,1.1818181818181819,2.6363636363636362,1.1818181818181819,0.18181818181818182,1.2727272727272727,0.0,2.4545454545454546,0.18181818181818182
9,12,1.4166666666666667,1.1666666666666667,0.25,2.25,0.6666666666666666,0.0,1.4166666666666667,0.16666666666666666,2.0833333333333335,0.16666666666666666
10,5,3.6,1.8,1.8,3.4,1.4,0.2,1.8,0.0,3.2,0.2
11,8,2.375,1.75,0.625,2.625,1.0,0.0,1.625,0.0,2.625,0.0
12,8,2.25,1.125,1.125,3.375,0.875,0.0,2.5,0.0,3.375,0.0
13,4,2.75,2.25,0.5,3.0,1.25,0.0,1.75,0.0,3.0,0.0
14,7,2.7142857142857144,1.2857142857142858,1.4285714285714286,3.142857142857143,1.5714285714285714,0.0,1.5714285714285714,0.0,3.142857142857143,0.0
15,4,2.5,1.75,0.75,2.5,1.25,0.0,1.25,0.0,2.5,0.0
16,2,2.5,2.0,0.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
17,2,4.0,2.5,1.5,3.5,1.0,0.5,2.0,0.0,3.0,0.5
18,4,1.25,0.75,0.5,3.5,0.5,0.0,3.0,0.0,3.5,0.0
19,1,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
