Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,1.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
0,3,3.6666666666666665,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0
1,2,4.5,3.0,1.5,4.0,2.0,0.5,1.5,0.0,3.5,0.5
2,4,2.75,1.25,1.5,5.0,1.0,0.25,3.5,0.25,4.5,0.5
3,1,4.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
4,4,1.75,1.5,0.25,3.5,1.75,0.0,1.5,0.25,3.25,0.25
5,6,2.5,1.6666666666666667,0.8333333333333334,3.3333333333333335,1.5,0.0,1.8333333333333333,0.0,3.3333333333333335,0.0
6,6,2.3333333333333335,1.6666666666666667,0.6666666666666666,4.333333333333333,1.6666666666666667,0.0,2.5,0.16666666666666666,4.166666666666667,0.16666666666666666
7,3,3.6666666666666665,2.0,1.6666666666666667,5.333333333333333,2.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,4.666666666666667,0.6666666666666666
8,5,3.0,2.4,0.6,2.6,1.0,0.0,1.4,0.2,2.4,0.2
9,6,4.333333333333333,2.5,1.8333333333333333,4.166666666666667,1.8333333333333333,0.0,2.1666666666666665,0.16666666666666666,4.0,0.16666666666666666
10,3,1.6666666666666667,1.3333333333333333,0.3333333333333333,3.3333333333333335,1.0,0.0,2.3333333333333335,0.0,3.3333333333333335,0.0
11,1,6.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
12,2,4.5,2.5,2.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
13,3,3.3333333333333335,3.3333333333333335,0.0,1.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.3333333333333333,0.0
14,2,3.5,2.5,1.0,1.5,1.0,0.0,0.5,0.0,1.5,0.0
15,1,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3,2.0,1.0,1.0,2.3333333333333335,1.0,0.0,1.3333333333333333,0.0,2.3333333333333335,0.0
18,1,6.0,6.0,0.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
