Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,3.0,1.0,2.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
1,4,3.25,2.5,0.75,2.25,1.5,0.0,0.75,0.0,2.25,0.0
2,2,3.0,1.5,1.5,1.0,0.5,0.0,0.5,0.0,1.0,0.0
3,2,4.5,3.0,1.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
4,5,1.6,1.4,0.2,1.2,0.0,0.0,1.2,0.0,1.2,0.0
5,7,3.0,1.8571428571428572,1.1428571428571428,2.2857142857142856,0.8571428571428571,0.0,1.2857142857142858,0.14285714285714285,2.142857142857143,0.14285714285714285
6,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7,10,3.0,2.0,1.0,2.9,1.1,0.0,1.8,0.0,2.9,0.0
8,3,3.3333333333333335,2.3333333333333335,1.0,3.6666666666666665,0.3333333333333333,0.0,3.0,0.3333333333333333,3.3333333333333335,0.3333333333333333
9,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
10,5,4.2,2.2,2.0,3.0,1.8,0.2,1.0,0.0,2.8,0.2
11,2,0.5,0.0,0.5,2.5,0.5,0.5,1.5,0.0,2.0,0.5
12,4,3.25,1.75,1.5,3.5,1.25,0.0,2.25,0.0,3.5,0.0
14,3,4.0,2.3333333333333335,1.6666666666666667,3.6666666666666665,1.6666666666666667,0.0,1.6666666666666667,0.3333333333333333,3.3333333333333335,0.3333333333333333
15,4,2.75,2.25,0.5,2.75,1.5,0.0,1.0,0.25,2.5,0.25
16,2,4.5,2.5,2.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
17,1,4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
