Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
2,1,3.0,2.0,1.0,6.0,1.0,1.0,4.0,0.0,5.0,1.0
4,1,4.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
5,2,2.5,1.5,1.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
7,1,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
8,3,1.3333333333333333,1.0,0.3333333333333333,5.666666666666667,3.0,0.0,2.6666666666666665,0.0,5.666666666666667,0.0
9,1,4.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0
10,2,2.0,1.5,0.5,2.5,1.5,0.5,0.5,0.0,2.0,0.5
11,3,2.0,1.6666666666666667,0.3333333333333333,6.0,3.0,0.0,3.0,0.0,6.0,0.0
12,1,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
13,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
16,2,1.5,1.5,0.0,3.5,1.5,0.0,2.0,0.0,3.5,0.0
17,1,3.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
