Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-1,2,3.5,1.0,2.5,2.5,1.5,0.0,1.0,0.0,2.5,0.0
0,9,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.8888888888888888,0.0,1.4444444444444444,0.0,2.3333333333333335,0.0
1,8,3.0,1.625,1.375,2.625,0.75,0.0,1.875,0.0,2.625,0.0
2,6,2.1666666666666665,0.6666666666666666,1.5,2.5,0.8333333333333334,0.0,1.6666666666666667,0.0,2.5,0.0
3,11,2.5454545454545454,1.2727272727272727,1.2727272727272727,2.090909090909091,0.9090909090909091,0.0,1.1818181818181819,0.0,2.090909090909091,0.0
4,12,2.5833333333333335,1.75,0.8333333333333334,2.5833333333333335,1.0833333333333333,0.0,1.5,0.0,2.5833333333333335,0.0
5,18,3.2777777777777777,2.0,1.2777777777777777,3.7777777777777777,1.1666666666666667,0.0,2.5555555555555554,0.05555555555555555,3.7222222222222223,0.05555555555555555
6,17,2.1176470588235294,1.1176470588235294,1.0,1.9411764705882353,0.6470588235294118,0.0,1.2352941176470589,0.058823529411764705,1.8823529411764706,0.058823529411764705
7,21,2.5238095238095237,1.7142857142857142,0.8095238095238095,2.7142857142857144,1.1904761904761905,0.0,1.4285714285714286,0.09523809523809523,2.619047619047619,0.09523809523809523
8,13,2.230769230769231,1.3846153846153846,0.8461538461538461,2.3846153846153846,1.0,0.07692307692307693,1.2307692307692308,0.07692307692307693,2.230769230769231,0.15384615384615385
9,18,2.5555555555555554,1.7222222222222223,0.8333333333333334,2.388888888888889,0.9444444444444444,0.1111111111111111,1.2222222222222223,0.1111111111111111,2.1666666666666665,0.2222222222222222
10,21,1.7142857142857142,0.7619047619047619,0.9523809523809523,3.1904761904761907,1.5714285714285714,0.09523809523809523,1.4761904761904763,0.047619047619047616,3.0476190476190474,0.14285714285714285
11,16,3.3125,2.4375,0.875,2.625,1.0,0.0,1.625,0.0,2.625,0.0
12,6,3.0,2.1666666666666665,0.8333333333333334,2.8333333333333335,1.0,0.0,1.6666666666666667,0.16666666666666666,2.6666666666666665,0.16666666666666666
13,5,2.4,1.2,1.2,2.8,1.6,0.0,1.2,0.0,2.8,0.0
14,7,2.2857142857142856,1.4285714285714286,0.8571428571428571,2.0,0.7142857142857143,0.0,1.0,0.2857142857142857,1.7142857142857142,0.2857142857142857
15,11,1.5454545454545454,1.0909090909090908,0.45454545454545453,2.090909090909091,0.9090909090909091,0.09090909090909091,1.0909090909090908,0.0,2.0,0.09090909090909091
16,5,3.0,1.0,2.0,4.4,2.2,0.0,2.0,0.2,4.2,0.2
17,9,2.7777777777777777,1.4444444444444444,1.3333333333333333,3.2222222222222223,1.1111111111111112,0.1111111111111111,1.8888888888888888,0.1111111111111111,3.0,0.2222222222222222
18,2,1.5,1.0,0.5,3.5,0.0,0.0,3.5,0.0,3.5,0.0
