Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,3,2.0,1.0,1.0,3.0,0.6666666666666666,0.0,2.3333333333333335,0.0,3.0,0.0
0,10,2.2,1.7,0.5,2.5,0.7,0.0,1.7,0.1,2.4,0.1
1,9,2.5555555555555554,1.4444444444444444,1.1111111111111112,3.6666666666666665,1.6666666666666667,0.0,1.6666666666666667,0.3333333333333333,3.3333333333333335,0.3333333333333333
2,9,2.5555555555555554,1.5555555555555556,1.0,3.6666666666666665,1.0,0.1111111111111111,2.3333333333333335,0.2222222222222222,3.3333333333333335,0.3333333333333333
3,13,2.0,1.2307692307692308,0.7692307692307693,3.5384615384615383,1.5384615384615385,0.0,2.0,0.0,3.5384615384615383,0.0
4,13,2.4615384615384617,1.3846153846153846,1.0769230769230769,3.8461538461538463,1.6923076923076923,0.0,1.9230769230769231,0.23076923076923078,3.6153846153846154,0.23076923076923078
5,9,3.4444444444444446,2.7777777777777777,0.6666666666666666,2.111111111111111,0.7777777777777778,0.0,1.3333333333333333,0.0,2.111111111111111,0.0
6,12,2.4166666666666665,1.9166666666666667,0.5,3.25,1.1666666666666667,0.08333333333333333,1.9166666666666667,0.08333333333333333,3.0833333333333335,0.16666666666666666
7,13,2.3846153846153846,1.6153846153846154,0.7692307692307693,3.6153846153846154,1.2307692307692308,0.07692307692307693,2.230769230769231,0.07692307692307693,3.4615384615384617,0.15384615384615385
8,16,1.75,1.1875,0.5625,3.125,1.0625,0.0625,1.9375,0.0625,3.0,0.125
9,15,1.8,0.9333333333333333,0.8666666666666667,3.1333333333333333,1.4,0.0,1.6666666666666667,0.06666666666666667,3.066666666666667,0.06666666666666667
10,19,3.1578947368421053,2.3157894736842106,0.8421052631578947,3.210526315789474,1.368421052631579,0.0,1.7894736842105263,0.05263157894736842,3.1578947368421053,0.05263157894736842
11,6,3.3333333333333335,2.8333333333333335,0.5,3.3333333333333335,1.0,0.0,2.3333333333333335,0.0,3.3333333333333335,0.0
12,6,1.8333333333333333,1.0,0.8333333333333334,2.6666666666666665,0.8333333333333334,0.3333333333333333,1.5,0.0,2.3333333333333335,0.3333333333333333
13,7,1.8571428571428572,1.0,0.8571428571428571,3.7142857142857144,1.1428571428571428,0.0,2.5714285714285716,0.0,3.7142857142857144,0.0
14,9,2.2222222222222223,1.5555555555555556,0.6666666666666666,2.4444444444444446,0.5555555555555556,0.0,1.8888888888888888,0.0,2.4444444444444446,0.0
15,4,2.0,1.25,0.75,3.5,1.5,0.0,2.0,0.0,3.5,0.0
16,11,3.3636363636363638,2.3636363636363638,1.0,3.6363636363636362,1.5454545454545454,0.0,2.090909090909091,0.0,3.6363636363636362,0.0
17,1,2.0,1.0,1.0,8.0,3.0,0.0,5.0,0.0,8.0,0.0
18,3,3.0,2.3333333333333335,0.6666666666666666,3.6666666666666665,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.3333333333333333,3.0,0.6666666666666666
20,1,2.0,1.0,1.0,5.0,4.0,0.0,1.0,0.0,5.0,0.0
21,1,2.0,1.0,1.0,7.0,2.0,0.0,4.0,1.0,6.0,1.0
