Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
0,2,1.0,0.0,1.0,1.5,1.0,0.0,0.5,0.0,1.5,0.0
1,2,4.0,2.5,1.5,2.0,1.5,0.0,0.5,0.0,2.0,0.0
2,7,2.142857142857143,1.2857142857142858,0.8571428571428571,2.4285714285714284,1.0,0.14285714285714285,1.2857142857142858,0.0,2.2857142857142856,0.14285714285714285
3,9,2.3333333333333335,1.4444444444444444,0.8888888888888888,4.0,2.0,0.0,2.0,0.0,4.0,0.0
4,12,3.3333333333333335,2.6666666666666665,0.6666666666666666,2.8333333333333335,1.25,0.0,1.5833333333333333,0.0,2.8333333333333335,0.0
5,12,3.0833333333333335,2.0,1.0833333333333333,1.8333333333333333,1.0,0.0,0.75,0.08333333333333333,1.75,0.08333333333333333
6,14,2.4285714285714284,1.7142857142857142,0.7142857142857143,2.0714285714285716,1.0,0.07142857142857142,0.9285714285714286,0.07142857142857142,1.9285714285714286,0.14285714285714285
7,10,2.3,1.6,0.7,3.2,1.6,0.0,1.3,0.3,2.9,0.3
8,8,2.5,1.25,1.25,2.25,1.0,0.0,1.125,0.125,2.125,0.125
9,10,2.4,1.2,1.2,3.2,1.8,0.0,1.4,0.0,3.2,0.0
10,7,3.0,2.0,1.0,2.5714285714285716,1.2857142857142858,0.0,1.2857142857142858,0.0,2.5714285714285716,0.0
11,5,1.8,1.2,0.6,3.0,1.2,0.0,1.8,0.0,3.0,0.0
12,4,2.25,1.0,1.25,3.5,2.0,0.25,1.0,0.25,3.0,0.5
13,11,2.8181818181818183,2.1818181818181817,0.6363636363636364,4.090909090909091,2.3636363636363638,0.09090909090909091,1.5454545454545454,0.09090909090909091,3.909090909090909,0.18181818181818182
14,5,1.8,1.0,0.8,4.4,2.2,0.0,2.2,0.0,4.4,0.0
15,4,2.75,1.75,1.0,2.75,0.75,0.25,1.75,0.0,2.5,0.25
16,3,2.6666666666666665,0.6666666666666666,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
17,2,0.5,0.5,0.0,4.0,1.5,0.0,2.5,0.0,4.0,0.0
18,4,2.25,1.0,1.25,5.25,3.0,0.25,2.0,0.0,5.0,0.25
22,1,5.0,0.0,5.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
