Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-4,1,3.0,1.0,2.0,7.0,3.0,0.0,3.0,1.0,6.0,1.0
-1,4,2.25,1.25,1.0,3.0,1.5,0.0,1.5,0.0,3.0,0.0
0,8,2.5,1.125,1.375,2.875,1.0,0.0,1.875,0.0,2.875,0.0
1,9,3.3333333333333335,2.111111111111111,1.2222222222222223,3.888888888888889,1.4444444444444444,0.0,2.3333333333333335,0.1111111111111111,3.7777777777777777,0.1111111111111111
2,18,3.1666666666666665,1.6111111111111112,1.5555555555555556,3.6666666666666665,1.6111111111111112,0.0,2.0555555555555554,0.0,3.6666666666666665,0.0
3,14,2.2142857142857144,1.2142857142857142,1.0,3.357142857142857,1.5714285714285714,0.0,1.6428571428571428,0.14285714285714285,3.2142857142857144,0.14285714285714285
4,12,2.0833333333333335,1.0,1.0833333333333333,2.75,1.1666666666666667,0.16666666666666666,1.3333333333333333,0.08333333333333333,2.5,0.25
5,28,2.9642857142857144,1.5,1.4642857142857142,3.0714285714285716,1.5714285714285714,0.03571428571428571,1.3571428571428572,0.10714285714285714,2.9285714285714284,0.14285714285714285
6,23,2.6956521739130435,1.391304347826087,1.3043478260869565,3.130434782608696,1.173913043478261,0.08695652173913043,1.6956521739130435,0.17391304347826086,2.869565217391304,0.2608695652173913
7,36,3.0277777777777777,1.6111111111111112,1.4166666666666667,3.388888888888889,1.7222222222222223,0.08333333333333333,1.5,0.08333333333333333,3.2222222222222223,0.16666666666666666
8,33,2.8484848484848486,1.2424242424242424,1.606060606060606,4.0606060606060606,1.8484848484848484,0.030303030303030304,2.090909090909091,0.09090909090909091,3.9393939393939394,0.12121212121212122
9,28,2.857142857142857,1.6785714285714286,1.1785714285714286,4.0,1.6071428571428572,0.10714285714285714,2.142857142857143,0.14285714285714285,3.75,0.25
10,35,2.257142857142857,1.2857142857142858,0.9714285714285714,2.8285714285714287,1.3142857142857143,0.08571428571428572,1.3428571428571427,0.08571428571428572,2.657142857142857,0.17142857142857143
11,21,3.0476190476190474,1.7619047619047619,1.2857142857142858,3.0476190476190474,1.1428571428571428,0.0,1.8095238095238095,0.09523809523809523,2.9523809523809526,0.09523809523809523
12,21,2.9523809523809526,1.2857142857142858,1.6666666666666667,3.5714285714285716,2.0476190476190474,0.09523809523809523,1.380952380952381,0.047619047619047616,3.4285714285714284,0.14285714285714285
13,14,2.2857142857142856,1.1428571428571428,1.1428571428571428,3.2857142857142856,1.5,0.21428571428571427,1.5,0.07142857142857142,3.0,0.2857142857142857
14,14,2.0,0.7857142857142857,1.2142857142857142,3.857142857142857,1.8571428571428572,0.07142857142857142,1.8571428571428572,0.07142857142857142,3.7142857142857144,0.14285714285714285
15,9,3.2222222222222223,1.8888888888888888,1.3333333333333333,2.888888888888889,1.0,0.1111111111111111,1.4444444444444444,0.3333333333333333,2.4444444444444446,0.4444444444444444
16,13,2.3846153846153846,1.5384615384615385,0.8461538461538461,3.230769230769231,1.3076923076923077,0.0,1.8461538461538463,0.07692307692307693,3.1538461538461537,0.07692307692307693
17,4,2.75,1.0,1.75,3.0,2.0,0.0,1.0,0.0,3.0,0.0
18,3,1.6666666666666667,1.0,0.6666666666666666,4.333333333333333,2.0,0.0,2.3333333333333335,0.0,4.333333333333333,0.0
19,2,5.0,1.5,3.5,3.5,2.0,0.0,1.5,0.0,3.5,0.0
20,2,2.5,1.0,1.5,4.0,1.5,0.0,2.5,0.0,4.0,0.0
