Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,2.0,1.5,0.5,3.0,1.5,0.0,0.5,1.0,2.0,1.0
1,3,3.6666666666666665,3.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0
2,3,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0
3,7,2.2857142857142856,1.5714285714285714,0.7142857142857143,2.142857142857143,0.8571428571428571,0.0,1.1428571428571428,0.14285714285714285,2.0,0.14285714285714285
4,3,1.0,0.6666666666666666,0.3333333333333333,4.333333333333333,1.6666666666666667,0.0,2.6666666666666665,0.0,4.333333333333333,0.0
5,6,3.5,2.3333333333333335,1.1666666666666667,3.8333333333333335,1.6666666666666667,0.0,2.1666666666666665,0.0,3.8333333333333335,0.0
6,2,3.0,2.0,1.0,1.5,1.0,0.0,0.5,0.0,1.5,0.0
7,8,2.875,2.25,0.625,3.375,1.5,0.125,1.5,0.25,3.0,0.375
8,4,1.75,1.5,0.25,3.5,1.5,0.0,1.75,0.25,3.25,0.25
9,9,2.111111111111111,1.7777777777777777,0.3333333333333333,2.0,0.8888888888888888,0.0,1.1111111111111112,0.0,2.0,0.0
10,7,2.142857142857143,1.5714285714285714,0.5714285714285714,3.5714285714285716,1.8571428571428572,0.0,1.7142857142857142,0.0,3.5714285714285716,0.0
11,10,2.3,1.4,0.9,2.9,1.5,0.0,1.4,0.0,2.9,0.0
12,1,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
13,7,3.2857142857142856,1.8571428571428572,1.4285714285714286,3.4285714285714284,1.4285714285714286,0.0,1.8571428571428572,0.14285714285714285,3.2857142857142856,0.14285714285714285
14,4,3.5,2.75,0.75,3.25,1.25,0.0,2.0,0.0,3.25,0.0
15,3,3.0,1.0,2.0,3.6666666666666665,1.0,0.0,2.6666666666666665,0.0,3.6666666666666665,0.0
16,3,2.6666666666666665,1.3333333333333333,1.3333333333333333,3.3333333333333335,1.3333333333333333,0.0,2.0,0.0,3.3333333333333335,0.0
17,2,4.0,1.5,2.5,4.0,1.5,0.0,2.0,0.5,3.5,0.5
