Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-4,1,4.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
-3,1,2.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
-1,2,2.0,2.0,0.0,4.5,2.0,0.0,2.5,0.0,4.5,0.0
0,8,2.75,2.0,0.75,2.75,1.25,0.125,1.375,0.0,2.625,0.125
1,12,3.5833333333333335,2.3333333333333335,1.25,3.1666666666666665,1.0833333333333333,0.0,2.0,0.08333333333333333,3.0833333333333335,0.08333333333333333
2,14,2.2857142857142856,1.5,0.7857142857142857,3.642857142857143,1.2857142857142858,0.07142857142857142,2.2142857142857144,0.07142857142857142,3.5,0.14285714285714285
3,17,2.1176470588235294,1.411764705882353,0.7058823529411765,3.411764705882353,1.4705882352941178,0.058823529411764705,1.8235294117647058,0.058823529411764705,3.2941176470588234,0.11764705882352941
4,25,2.32,1.36,0.96,3.72,1.48,0.08,1.96,0.2,3.44,0.28
5,23,3.260869565217391,1.826086956521739,1.434782608695652,2.739130434782609,1.0,0.043478260869565216,1.6521739130434783,0.043478260869565216,2.652173913043478,0.08695652173913043
6,22,3.4545454545454546,2.1363636363636362,1.3181818181818181,3.727272727272727,1.5,0.0,2.1363636363636362,0.09090909090909091,3.6363636363636362,0.09090909090909091
7,20,3.2,1.85,1.35,3.75,1.6,0.0,1.95,0.2,3.55,0.2
8,20,2.1,1.4,0.7,3.85,1.8,0.15,1.8,0.1,3.6,0.25
9,17,2.4705882352941178,1.6470588235294117,0.8235294117647058,3.235294117647059,1.3529411764705883,0.11764705882352941,1.7058823529411764,0.058823529411764705,3.0588235294117645,0.17647058823529413
10,28,2.4642857142857144,1.3214285714285714,1.1428571428571428,3.357142857142857,1.3928571428571428,0.07142857142857142,1.8571428571428572,0.03571428571428571,3.25,0.10714285714285714
11,13,2.5384615384615383,1.7692307692307692,0.7692307692307693,4.153846153846154,1.7692307692307692,0.15384615384615385,2.076923076923077,0.15384615384615385,3.8461538461538463,0.3076923076923077
12,14,1.7142857142857142,0.9285714285714286,0.7857142857142857,4.142857142857143,1.6428571428571428,0.14285714285714285,2.2142857142857144,0.14285714285714285,3.857142857142857,0.2857142857142857
13,16,3.0625,2.0,1.0625,3.4375,1.625,0.0625,1.75,0.0,3.375,0.0625
14,9,2.3333333333333335,1.6666666666666667,0.6666666666666666,5.555555555555555,2.111111111111111,0.1111111111111111,3.111111111111111,0.2222222222222222,5.222222222222222,0.3333333333333333
15,17,3.2941176470588234,2.176470588235294,1.1176470588235294,3.411764705882353,1.1176470588235294,0.058823529411764705,1.9411764705882353,0.29411764705882354,3.0588235294117645,0.35294117647058826
16,5,3.4,2.0,1.4,3.2,1.4,0.0,1.8,0.0,3.2,0.0
17,5,3.8,2.6,1.2,3.4,1.6,0.0,1.8,0.0,3.4,0.0
18,2,2.0,0.0,2.0,2.0,0.5,0.0,1.5,0.0,2.0,0.0
20,1,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
