Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,3.0,1.0,2.0,4.0,0.0,1.0,3.0,0.0,3.0,1.0
0,2,3.0,1.5,1.5,3.0,1.5,0.0,1.5,0.0,3.0,0.0
1,2,1.5,1.5,0.0,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2,2,3.0,2.5,0.5,1.5,0.5,0.0,1.0,0.0,1.5,0.0
3,3,2.6666666666666665,1.6666666666666667,1.0,5.666666666666667,2.6666666666666665,0.0,3.0,0.0,5.666666666666667,0.0
4,7,1.8571428571428572,1.2857142857142858,0.5714285714285714,2.5714285714285716,0.5714285714285714,0.14285714285714285,1.7142857142857142,0.14285714285714285,2.2857142857142856,0.2857142857142857
5,3,2.3333333333333335,2.0,0.3333333333333333,3.6666666666666665,1.3333333333333333,0.0,2.3333333333333335,0.0,3.6666666666666665,0.0
6,10,3.9,2.6,1.3,3.0,1.2,0.1,1.7,0.0,2.9,0.1
7,8,2.75,1.625,1.125,3.0,0.875,0.0,1.75,0.375,2.625,0.375
8,5,4.0,2.4,1.6,2.2,0.6,0.0,1.4,0.2,2.0,0.2
9,13,2.769230769230769,1.9230769230769231,0.8461538461538461,2.923076923076923,1.2307692307692308,0.07692307692307693,1.6153846153846154,0.0,2.8461538461538463,0.07692307692307693
10,5,1.4,0.6,0.8,3.4,1.4,0.0,2.0,0.0,3.4,0.0
11,5,3.4,2.8,0.6,4.0,1.8,0.0,2.0,0.2,3.8,0.2
12,3,3.3333333333333335,2.6666666666666665,0.6666666666666666,4.0,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.0,3.6666666666666665,0.3333333333333333
13,3,2.3333333333333335,1.3333333333333333,1.0,4.666666666666667,1.3333333333333333,0.0,3.3333333333333335,0.0,4.666666666666667,0.0
14,4,3.25,2.25,1.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
15,3,3.6666666666666665,2.6666666666666665,1.0,5.333333333333333,2.6666666666666665,0.0,2.6666666666666665,0.0,5.333333333333333,0.0
16,4,1.75,0.75,1.0,4.75,1.5,0.0,3.0,0.25,4.5,0.25
19,1,2.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0
