Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,3,2.3333333333333335,1.3333333333333333,1.0,4.0,1.3333333333333333,0.0,2.6666666666666665,0.0,4.0,0.0
-1,4,5.0,3.75,1.25,3.0,0.75,0.0,2.0,0.25,2.75,0.25
0,13,2.8461538461538463,1.8461538461538463,1.0,4.076923076923077,1.4615384615384615,0.07692307692307693,2.4615384615384617,0.07692307692307693,3.923076923076923,0.15384615384615385
1,14,3.0714285714285716,2.2142857142857144,0.8571428571428571,3.5,1.5,0.07142857142857142,1.7857142857142858,0.14285714285714285,3.2857142857142856,0.21428571428571427
2,20,3.1,2.4,0.7,3.4,1.05,0.05,2.25,0.05,3.3,0.1
3,12,3.5833333333333335,2.5833333333333335,1.0,4.75,1.9166666666666667,0.08333333333333333,2.5,0.25,4.416666666666667,0.3333333333333333
4,12,2.3333333333333335,1.9166666666666667,0.4166666666666667,2.5833333333333335,1.0833333333333333,0.0,1.4166666666666667,0.08333333333333333,2.5,0.08333333333333333
5,15,2.3333333333333335,1.5333333333333334,0.8,4.066666666666666,1.3333333333333333,0.13333333333333333,2.466666666666667,0.13333333333333333,3.8,0.26666666666666666
6,21,2.9047619047619047,2.142857142857143,0.7619047619047619,3.2857142857142856,1.1904761904761905,0.0,1.9047619047619047,0.19047619047619047,3.0952380952380953,0.19047619047619047
7,28,2.892857142857143,2.0357142857142856,0.8571428571428571,3.6785714285714284,1.5357142857142858,0.0,1.9642857142857142,0.17857142857142858,3.5,0.17857142857142858
8,26,2.9615384615384617,2.1923076923076925,0.7692307692307693,3.8846153846153846,1.4615384615384615,0.0,2.3461538461538463,0.07692307692307693,3.8076923076923075,0.07692307692307693
9,31,3.129032258064516,2.225806451612903,0.9032258064516129,3.3870967741935485,1.3225806451612903,0.06451612903225806,1.903225806451613,0.0967741935483871,3.225806451612903,0.16129032258064516
10,34,2.4705882352941178,1.8235294117647058,0.6470588235294118,3.735294117647059,1.4705882352941178,0.058823529411764705,2.0588235294117645,0.14705882352941177,3.5294117647058822,0.20588235294117646
11,20,2.5,1.6,0.9,3.0,1.2,0.05,1.65,0.1,2.85,0.15
12,18,4.333333333333333,3.2222222222222223,1.1111111111111112,3.111111111111111,1.1111111111111112,0.05555555555555555,1.7222222222222223,0.2222222222222222,2.8333333333333335,0.2777777777777778
13,15,3.1333333333333333,2.4,0.7333333333333333,3.066666666666667,0.9333333333333333,0.06666666666666667,1.8,0.26666666666666666,2.7333333333333334,0.3333333333333333
14,16,3.6875,2.75,0.9375,3.5,1.1875,0.125,1.9375,0.25,3.125,0.375
15,15,3.0,2.066666666666667,0.9333333333333333,3.066666666666667,0.8666666666666667,0.0,2.0,0.2,2.8666666666666667,0.2
16,14,3.4285714285714284,2.357142857142857,1.0714285714285714,5.285714285714286,1.9285714285714286,0.14285714285714285,3.0,0.21428571428571427,4.928571428571429,0.35714285714285715
17,9,3.4444444444444446,2.6666666666666665,0.7777777777777778,4.888888888888889,2.0,0.2222222222222222,2.5555555555555554,0.1111111111111111,4.555555555555555,0.3333333333333333
18,6,3.5,1.6666666666666667,1.8333333333333333,3.5,1.5,0.0,2.0,0.0,3.5,0.0
19,2,4.5,4.5,0.0,2.5,1.0,0.0,1.0,0.5,2.0,0.5
20,2,3.0,3.0,0.0,4.5,0.5,0.5,2.5,1.0,3.0,1.5
22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
