Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,2.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0
-1,2,3.0,1.5,1.5,3.0,2.0,0.0,1.0,0.0,3.0,0.0
0,3,3.0,1.0,2.0,3.0,1.3333333333333333,0.0,1.6666666666666667,0.0,3.0,0.0
1,3,1.6666666666666667,0.6666666666666666,1.0,2.3333333333333335,1.3333333333333333,0.0,1.0,0.0,2.3333333333333335,0.0
2,6,2.1666666666666665,1.0,1.1666666666666667,4.333333333333333,1.6666666666666667,0.16666666666666666,2.5,0.0,4.166666666666667,0.16666666666666666
3,9,2.111111111111111,1.0,1.1111111111111112,4.333333333333333,1.8888888888888888,0.1111111111111111,2.2222222222222223,0.1111111111111111,4.111111111111111,0.2222222222222222
4,10,2.3,1.2,1.1,4.6,1.9,0.1,2.4,0.2,4.3,0.3
5,11,2.090909090909091,1.4545454545454546,0.6363636363636364,2.1818181818181817,0.8181818181818182,0.0,1.2727272727272727,0.09090909090909091,2.090909090909091,0.09090909090909091
6,6,2.5,1.1666666666666667,1.3333333333333333,3.0,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.6666666666666666
7,10,2.5,1.6,0.9,2.1,1.0,0.0,0.9,0.2,1.9,0.2
8,14,2.2857142857142856,1.4285714285714286,0.8571428571428571,2.857142857142857,1.5714285714285714,0.14285714285714285,1.1428571428571428,0.0,2.7142857142857144,0.14285714285714285
9,9,2.4444444444444446,1.1111111111111112,1.3333333333333333,2.4444444444444446,1.1111111111111112,0.1111111111111111,1.1111111111111112,0.1111111111111111,2.2222222222222223,0.2222222222222222
10,10,2.4,1.4,1.0,3.3,1.1,0.1,2.1,0.0,3.2,0.1
11,7,1.8571428571428572,1.0,0.8571428571428571,3.5714285714285716,1.5714285714285714,0.14285714285714285,1.7142857142857142,0.14285714285714285,3.2857142857142856,0.2857142857142857
12,8,2.5,1.25,1.25,3.375,1.5,0.125,1.75,0.0,3.25,0.125
13,5,1.6,1.0,0.6,2.8,1.8,0.0,1.0,0.0,2.8,0.0
14,9,2.111111111111111,0.7777777777777778,1.3333333333333333,3.3333333333333335,1.7777777777777777,0.1111111111111111,1.4444444444444444,0.0,3.2222222222222223,0.1111111111111111
15,4,2.25,1.0,1.25,2.75,1.5,0.0,1.25,0.0,2.75,0.0
16,2,2.5,1.0,1.5,4.5,0.5,0.5,3.0,0.5,3.5,1.0
17,2,4.0,3.0,1.0,5.0,2.5,0.0,2.5,0.0,5.0,0.0
18,2,1.0,1.0,0.0,6.5,1.5,0.0,5.0,0.0,6.5,0.0
