Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,2.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
-2,2,3.0,1.0,2.0,5.0,1.0,0.0,4.0,0.0,5.0,0.0
-1,4,4.0,2.5,1.5,3.0,1.0,0.25,1.5,0.25,2.5,0.5
0,11,2.6363636363636362,1.0,1.6363636363636365,3.6363636363636362,1.1818181818181819,0.09090909090909091,2.272727272727273,0.09090909090909091,3.4545454545454546,0.18181818181818182
1,8,2.125,1.25,0.875,2.5,0.875,0.0,1.625,0.0,2.5,0.0
2,5,2.6,1.8,0.8,6.0,2.4,0.6,2.8,0.2,5.2,0.8
3,11,2.090909090909091,1.2727272727272727,0.8181818181818182,3.8181818181818183,1.9090909090909092,0.0,1.8181818181818181,0.09090909090909091,3.727272727272727,0.09090909090909091
4,13,2.5384615384615383,1.2307692307692308,1.3076923076923077,3.076923076923077,1.6153846153846154,0.15384615384615385,1.2307692307692308,0.07692307692307693,2.8461538461538463,0.23076923076923078
5,15,2.6,1.6,1.0,4.066666666666666,1.6,0.13333333333333333,2.066666666666667,0.26666666666666666,3.6666666666666665,0.4
6,22,2.3181818181818183,1.5454545454545454,0.7727272727272727,2.909090909090909,1.4545454545454546,0.0,1.3636363636363635,0.09090909090909091,2.8181818181818183,0.09090909090909091
7,25,3.08,1.72,1.36,3.28,1.44,0.04,1.68,0.12,3.12,0.16
8,21,2.0476190476190474,0.8571428571428571,1.1904761904761905,3.4285714285714284,1.8571428571428572,0.14285714285714285,1.380952380952381,0.047619047619047616,3.238095238095238,0.19047619047619047
9,12,2.25,1.3333333333333333,0.9166666666666666,3.8333333333333335,1.9166666666666667,0.0,1.9166666666666667,0.0,3.8333333333333335,0.0
10,10,2.4,1.5,0.9,2.9,1.5,0.1,1.1,0.2,2.6,0.3
11,15,2.066666666666667,1.1333333333333333,0.9333333333333333,4.0,1.8666666666666667,0.2,1.9333333333333333,0.0,3.8,0.2
12,7,2.2857142857142856,1.4285714285714286,0.8571428571428571,2.857142857142857,1.2857142857142858,0.14285714285714285,1.4285714285714286,0.0,2.7142857142857144,0.14285714285714285
13,8,2.75,0.875,1.875,4.625,2.0,0.125,2.375,0.125,4.375,0.25
14,7,2.857142857142857,2.142857142857143,0.7142857142857143,4.714285714285714,2.0,0.2857142857142857,2.142857142857143,0.2857142857142857,4.142857142857143,0.5714285714285714
15,5,4.0,2.0,2.0,4.6,2.6,0.2,1.8,0.0,4.4,0.2
16,5,3.0,1.4,1.6,2.8,1.8,0.2,0.8,0.0,2.6,0.2
17,1,4.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
19,1,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
