Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
2,2,3.5,1.0,2.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4,1,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
5,1,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
6,4,3.25,1.75,1.5,3.25,1.0,0.0,2.0,0.25,3.0,0.25
7,2,4.0,1.5,2.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
9,4,4.75,2.0,2.75,3.75,1.5,0.0,2.25,0.0,3.75,0.0
10,1,3.0,2.0,1.0,7.0,2.0,0.0,3.0,2.0,5.0,2.0
11,2,3.0,1.0,2.0,3.0,1.5,0.0,1.5,0.0,3.0,0.0
12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
