Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
-2,1,4.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
0,8,1.875,0.875,1.0,4.75,2.0,0.375,2.125,0.25,4.125,0.625
1,6,2.6666666666666665,1.3333333333333333,1.3333333333333333,3.8333333333333335,1.3333333333333333,0.0,2.5,0.0,3.8333333333333335,0.0
2,11,2.272727272727273,1.0,1.2727272727272727,2.6363636363636362,1.0909090909090908,0.0,1.4545454545454546,0.09090909090909091,2.5454545454545454,0.09090909090909091
3,12,2.5,1.3333333333333333,1.1666666666666667,2.9166666666666665,0.9166666666666666,0.0,2.0,0.0,2.9166666666666665,0.0
4,17,3.0588235294117645,1.8235294117647058,1.2352941176470589,3.764705882352941,2.0588235294117645,0.0,1.588235294117647,0.11764705882352941,3.6470588235294117,0.11764705882352941
5,12,3.3333333333333335,2.3333333333333335,1.0,3.0,0.9166666666666666,0.0,1.9166666666666667,0.16666666666666666,2.8333333333333335,0.16666666666666666
6,14,2.357142857142857,1.1428571428571428,1.2142857142857142,2.142857142857143,0.9285714285714286,0.07142857142857142,1.0714285714285714,0.07142857142857142,2.0,0.14285714285714285
7,26,2.5,1.3461538461538463,1.1538461538461537,2.923076923076923,1.1538461538461537,0.07692307692307693,1.5769230769230769,0.11538461538461539,2.730769230769231,0.19230769230769232
8,21,2.4761904761904763,1.380952380952381,1.0952380952380953,3.380952380952381,1.4761904761904763,0.09523809523809523,1.8095238095238095,0.0,3.2857142857142856,0.09523809523809523
9,16,2.375,1.3125,1.0625,3.5625,1.5625,0.1875,1.6875,0.125,3.25,0.3125
10,14,2.0714285714285716,0.6428571428571429,1.4285714285714286,3.0714285714285716,1.8571428571428572,0.07142857142857142,1.1428571428571428,0.0,3.0,0.07142857142857142
11,7,2.5714285714285716,1.7142857142857142,0.8571428571428571,3.4285714285714284,1.8571428571428572,0.14285714285714285,1.4285714285714286,0.0,3.2857142857142856,0.14285714285714285
12,13,3.076923076923077,1.2307692307692308,1.8461538461538463,3.076923076923077,1.6153846153846154,0.23076923076923078,1.2307692307692308,0.0,2.8461538461538463,0.23076923076923078
13,6,2.3333333333333335,1.0,1.3333333333333333,3.3333333333333335,1.8333333333333333,0.16666666666666666,1.3333333333333333,0.0,3.1666666666666665,0.16666666666666666
14,10,2.6,1.3,1.3,2.7,1.0,0.0,1.7,0.0,2.7,0.0
15,8,2.25,1.125,1.125,2.375,1.25,0.0,1.125,0.0,2.375,0.0
16,2,5.5,2.5,3.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
17,3,3.3333333333333335,0.6666666666666666,2.6666666666666665,4.0,2.0,0.0,1.6666666666666667,0.3333333333333333,3.6666666666666665,0.3333333333333333
18,1,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
