Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
1,2,4.0,2.0,2.0,3.5,1.0,0.0,2.5,0.0,3.5,0.0
2,3,4.0,2.6666666666666665,1.3333333333333333,4.0,1.6666666666666667,0.3333333333333333,2.0,0.0,3.6666666666666665,0.3333333333333333
3,1,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4,3,4.666666666666667,2.3333333333333335,2.3333333333333335,5.0,2.6666666666666665,0.0,2.3333333333333335,0.0,5.0,0.0
5,4,4.0,1.5,2.5,2.25,1.25,0.0,1.0,0.0,2.25,0.0
6,5,3.8,1.6,2.2,4.2,2.0,0.0,2.0,0.2,4.0,0.2
7,7,3.4285714285714284,1.4285714285714286,2.0,3.0,1.7142857142857142,0.14285714285714285,1.1428571428571428,0.0,2.857142857142857,0.14285714285714285
8,3,3.6666666666666665,1.0,2.6666666666666665,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0
9,6,3.3333333333333335,1.0,2.3333333333333335,3.8333333333333335,1.6666666666666667,0.0,2.1666666666666665,0.0,3.8333333333333335,0.0
10,4,2.75,1.25,1.5,4.75,2.0,0.0,2.75,0.0,4.75,0.0
11,8,2.375,1.625,0.75,2.375,0.875,0.0,1.375,0.125,2.25,0.125
12,3,4.666666666666667,3.3333333333333335,1.3333333333333333,2.0,0.6666666666666666,0.0,1.3333333333333333,0.0,2.0,0.0
13,4,2.0,1.0,1.0,4.25,1.5,0.25,2.0,0.5,3.5,0.75
14,4,1.0,0.5,0.5,3.25,1.5,0.0,1.75,0.0,3.25,0.0
15,3,3.3333333333333335,2.0,1.3333333333333333,4.0,1.6666666666666667,0.0,2.0,0.3333333333333333,3.6666666666666665,0.3333333333333333
16,1,2.0,1.0,1.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
17,5,2.0,0.8,1.2,5.2,2.2,0.0,2.8,0.2,5.0,0.2
