Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
1,1,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2,1,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
3,2,5.0,2.0,3.0,2.5,2.0,0.0,0.5,0.0,2.5,0.0
4,2,2.0,0.0,2.0,2.5,2.5,0.0,0.0,0.0,2.5,0.0
5,2,1.5,0.5,1.0,5.0,2.5,0.0,2.0,0.5,4.5,0.5
6,3,3.6666666666666665,2.3333333333333335,1.3333333333333333,5.0,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.0,4.666666666666667,0.3333333333333333
7,1,2.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,4.0,1.0
9,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,3.0,1.5,1.5,1.5,1.0,0.5,0.0,0.0,1.0,0.5
11,3,1.6666666666666667,1.0,0.6666666666666666,2.3333333333333335,2.0,0.0,0.3333333333333333,0.0,2.3333333333333335,0.0
12,1,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
13,1,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
14,1,1.0,1.0,0.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
15,1,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
16,2,3.0,1.5,1.5,5.5,3.5,0.0,2.0,0.0,5.5,0.0
17,1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
18,1,5.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
