Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,2,3.0,1.5,1.5,2.5,1.0,0.0,1.0,0.5,2.0,0.5
0,5,1.8,1.2,0.6,2.2,0.6,0.0,1.4,0.2,2.0,0.2
1,7,2.4285714285714284,1.0,1.4285714285714286,4.571428571428571,2.142857142857143,0.0,2.2857142857142856,0.14285714285714285,4.428571428571429,0.14285714285714285
2,4,1.75,1.0,0.75,1.75,1.0,0.0,0.75,0.0,1.75,0.0
3,6,2.0,0.8333333333333334,1.1666666666666667,2.8333333333333335,1.5,0.0,1.3333333333333333,0.0,2.8333333333333335,0.0
4,6,3.8333333333333335,1.1666666666666667,2.6666666666666665,2.1666666666666665,1.3333333333333333,0.0,0.8333333333333334,0.0,2.1666666666666665,0.0
5,5,1.4,0.6,0.8,4.0,2.2,0.0,1.8,0.0,4.0,0.0
6,4,2.0,1.0,1.0,2.25,1.25,0.0,1.0,0.0,2.25,0.0
7,8,2.75,1.625,1.125,3.5,2.0,0.0,1.5,0.0,3.5,0.0
8,7,2.2857142857142856,1.0,1.2857142857142858,3.5714285714285716,1.8571428571428572,0.0,1.7142857142857142,0.0,3.5714285714285716,0.0
9,5,1.8,1.4,0.4,2.6,1.6,0.0,1.0,0.0,2.6,0.0
10,2,3.5,0.5,3.0,1.5,1.0,0.0,0.5,0.0,1.5,0.0
11,5,2.6,1.4,1.2,3.0,1.2,0.0,1.8,0.0,3.0,0.0
12,5,3.0,1.4,1.6,3.8,1.4,0.0,2.0,0.4,3.4,0.4
13,2,1.0,0.5,0.5,3.0,2.0,0.0,1.0,0.0,3.0,0.0
14,5,1.2,0.6,0.6,3.0,1.6,0.0,1.4,0.0,3.0,0.0
15,2,3.0,1.0,2.0,3.0,1.0,0.0,1.5,0.5,2.5,0.5
16,2,2.5,1.0,1.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
17,1,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
18,1,2.0,0.0,2.0,6.0,2.0,0.0,3.0,1.0,5.0,1.0
