Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
3,1,4.0,2.0,2.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
4,2,1.0,0.0,1.0,2.5,0.5,0.0,1.5,0.5,2.0,0.5
5,5,4.4,1.4,3.0,4.2,1.4,0.0,2.8,0.0,4.2,0.0
7,2,3.0,0.5,2.5,3.5,1.5,0.0,2.0,0.0,3.5,0.0
8,3,2.6666666666666665,2.0,0.6666666666666666,2.3333333333333335,1.0,0.0,1.0,0.3333333333333333,2.0,0.3333333333333333
9,3,1.6666666666666667,1.0,0.6666666666666666,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,0.0,3.3333333333333335,0.0
10,2,3.0,1.0,2.0,5.0,2.0,0.0,2.5,0.5,4.5,0.5
11,4,3.75,1.25,2.5,4.0,1.75,0.0,2.25,0.0,4.0,0.0
14,2,1.5,0.5,1.0,1.5,1.0,0.0,0.5,0.0,1.5,0.0
16,2,3.0,1.5,1.5,2.5,0.5,0.0,2.0,0.0,2.5,0.0
17,2,2.5,1.0,1.5,6.0,2.5,0.0,3.0,0.5,5.5,0.5
