Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,5.0,3.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
0,2,2.5,1.0,1.5,4.0,2.0,0.0,2.0,0.0,4.0,0.0
1,2,3.5,1.5,2.0,2.5,0.5,0.0,2.0,0.0,2.5,0.0
2,6,2.6666666666666665,1.8333333333333333,0.8333333333333334,3.0,1.6666666666666667,0.16666666666666666,1.1666666666666667,0.0,2.8333333333333335,0.16666666666666666
3,6,1.8333333333333333,1.5,0.3333333333333333,3.1666666666666665,0.8333333333333334,0.16666666666666666,2.1666666666666665,0.0,3.0,0.16666666666666666
4,6,2.3333333333333335,1.1666666666666667,1.1666666666666667,2.8333333333333335,0.8333333333333334,0.0,1.8333333333333333,0.16666666666666666,2.6666666666666665,0.16666666666666666
5,9,3.6666666666666665,2.0,1.6666666666666667,3.2222222222222223,1.2222222222222223,0.1111111111111111,1.7777777777777777,0.1111111111111111,3.0,0.2222222222222222
6,12,2.8333333333333335,1.5,1.3333333333333333,2.3333333333333335,0.9166666666666666,0.0,1.4166666666666667,0.0,2.3333333333333335,0.0
7,14,2.4285714285714284,1.4285714285714286,1.0,2.2142857142857144,0.8571428571428571,0.0,1.3571428571428572,0.0,2.2142857142857144,0.0
8,9,2.7777777777777777,1.2222222222222223,1.5555555555555556,2.7777777777777777,1.4444444444444444,0.0,1.3333333333333333,0.0,2.7777777777777777,0.0
9,7,3.7142857142857144,1.7142857142857142,2.0,2.4285714285714284,1.1428571428571428,0.0,1.2857142857142858,0.0,2.4285714285714284,0.0
10,10,2.8,1.1,1.7,2.9,1.2,0.1,1.4,0.2,2.6,0.3
11,15,2.2666666666666666,1.0666666666666667,1.2,3.466666666666667,1.7333333333333334,0.06666666666666667,1.5333333333333334,0.13333333333333333,3.2666666666666666,0.2
12,4,3.25,1.75,1.5,3.0,1.75,0.25,1.0,0.0,2.75,0.25
13,5,3.0,1.2,1.8,4.0,2.0,0.0,2.0,0.0,4.0,0.0
14,4,1.75,0.5,1.25,2.25,1.25,0.0,1.0,0.0,2.25,0.0
15,11,1.8181818181818181,0.8181818181818182,1.0,2.8181818181818183,0.9090909090909091,0.2727272727272727,1.5454545454545454,0.09090909090909091,2.4545454545454546,0.36363636363636365
16,2,2.5,2.5,0.0,4.0,0.5,0.5,2.5,0.5,3.0,1.0
17,5,3.2,1.4,1.8,2.8,0.6,0.2,2.0,0.0,2.6,0.2
18,2,2.0,0.0,2.0,3.0,1.0,0.5,1.5,0.0,2.5,0.5
21,1,5.0,2.0,3.0,4.0,0.0,1.0,3.0,0.0,3.0,1.0
