Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-1,3,5.0,3.0,2.0,3.3333333333333335,2.0,0.0,1.3333333333333333,0.0,3.3333333333333335,0.0
0,9,3.2222222222222223,2.2222222222222223,1.0,3.6666666666666665,2.0,0.0,1.5555555555555556,0.1111111111111111,3.5555555555555554,0.1111111111111111
1,10,3.2,2.3,0.9,3.5,1.4,0.0,2.0,0.1,3.4,0.1
2,16,2.0625,1.4375,0.625,3.375,1.1875,0.1875,2.0,0.0,3.1875,0.1875
3,16,3.0,2.25,0.75,3.25,1.4375,0.0625,1.625,0.125,3.0625,0.1875
4,17,2.2941176470588234,1.7058823529411764,0.5882352941176471,2.7058823529411766,1.1764705882352942,0.058823529411764705,1.4705882352941178,0.0,2.6470588235294117,0.058823529411764705
5,33,3.212121212121212,2.272727272727273,0.9393939393939394,3.5757575757575757,1.3333333333333333,0.15151515151515152,1.878787878787879,0.21212121212121213,3.212121212121212,0.36363636363636365
6,22,3.0,2.0,1.0,3.4545454545454546,1.2727272727272727,0.13636363636363635,1.9545454545454546,0.09090909090909091,3.227272727272727,0.22727272727272727
7,23,2.6956521739130435,2.0869565217391304,0.6086956521739131,2.8260869565217392,1.0,0.0,1.7391304347826086,0.08695652173913043,2.739130434782609,0.08695652173913043
8,16,2.6875,2.25,0.4375,3.5,1.75,0.0,1.6875,0.0625,3.4375,0.0625
9,27,2.5555555555555554,2.259259259259259,0.2962962962962963,3.259259259259259,1.3703703703703705,0.0,1.7777777777777777,0.1111111111111111,3.1481481481481484,0.1111111111111111
10,33,2.8484848484848486,1.9393939393939394,0.9090909090909091,2.6666666666666665,1.0909090909090908,0.0,1.4848484848484849,0.09090909090909091,2.5757575757575757,0.09090909090909091
11,23,3.217391304347826,2.4347826086956523,0.782608695652174,3.608695652173913,1.4782608695652173,0.043478260869565216,2.0,0.08695652173913043,3.4782608695652173,0.13043478260869565
12,15,2.533333333333333,1.7333333333333334,0.8,3.6,1.4,0.0,2.2,0.0,3.6,0.0
13,27,3.185185185185185,2.185185185185185,1.0,3.814814814814815,1.3703703703703705,0.07407407407407407,2.259259259259259,0.1111111111111111,3.6296296296296298,0.18518518518518517
14,11,3.3636363636363638,2.6363636363636362,0.7272727272727273,2.727272727272727,0.8181818181818182,0.0,1.8181818181818181,0.09090909090909091,2.6363636363636362,0.09090909090909091
15,16,3.6875,2.75,0.9375,3.4375,1.3125,0.0625,1.9375,0.125,3.25,0.1875
16,12,3.3333333333333335,2.4166666666666665,0.9166666666666666,2.6666666666666665,1.1666666666666667,0.0,1.5,0.0,2.6666666666666665,0.0
17,10,2.9,2.0,0.9,4.6,2.1,0.2,2.2,0.1,4.3,0.3
18,8,2.5,1.75,0.75,3.0,0.75,0.25,2.0,0.0,2.75,0.25
19,2,2.5,2.5,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
21,1,3.0,2.0,1.0,6.0,0.0,1.0,3.0,2.0,3.0,3.0
