Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,2.0,0.5,1.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0
1,1,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
4,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
5,2,2.0,0.5,1.5,4.5,2.0,0.0,2.5,0.0,4.5,0.0
6,1,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0
7,2,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
8,2,1.5,0.5,1.0,2.5,1.5,0.0,1.0,0.0,2.5,0.0
10,2,2.5,2.0,0.5,3.5,0.0,1.0,2.5,0.0,2.5,1.0
11,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
14,3,2.0,0.3333333333333333,1.6666666666666667,5.0,2.6666666666666665,0.3333333333333333,2.0,0.0,4.666666666666667,0.3333333333333333
17,1,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
