Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
-1,1,3.0,2.0,1.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
0,3,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.0,1.0,0.0,1.6666666666666667,0.0
1,2,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
2,1,2.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
3,3,1.3333333333333333,0.3333333333333333,1.0,3.3333333333333335,0.3333333333333333,0.3333333333333333,2.3333333333333335,0.3333333333333333,2.6666666666666665,0.6666666666666666
4,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
5,8,3.375,0.875,2.5,3.125,2.0,0.0,1.125,0.0,3.125,0.0
6,5,3.0,1.6,1.4,3.8,1.8,0.0,2.0,0.0,3.8,0.0
7,3,3.6666666666666665,1.3333333333333333,2.3333333333333335,3.0,1.3333333333333333,0.0,1.6666666666666667,0.0,3.0,0.0
8,4,1.0,0.25,0.75,4.25,2.75,0.0,1.5,0.0,4.25,0.0
9,5,2.6,0.6,2.0,2.8,1.2,0.0,1.6,0.0,2.8,0.0
10,2,3.0,0.0,3.0,2.5,1.5,0.0,1.0,0.0,2.5,0.0
11,3,1.3333333333333333,1.0,0.3333333333333333,4.0,2.0,0.0,2.0,0.0,4.0,0.0
12,3,3.6666666666666665,1.0,2.6666666666666665,5.0,3.0,0.0,2.0,0.0,5.0,0.0
13,3,2.0,0.6666666666666666,1.3333333333333333,3.6666666666666665,2.3333333333333335,0.0,1.3333333333333333,0.0,3.6666666666666665,0.0
14,2,4.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
15,1,2.0,0.0,2.0,7.0,3.0,0.0,3.0,1.0,6.0,1.0
16,2,2.5,1.5,1.0,3.0,1.5,0.5,1.0,0.0,2.5,0.5
17,3,3.6666666666666665,1.0,2.6666666666666665,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0
18,1,4.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
