Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,11,2.8181818181818183,1.6363636363636365,1.1818181818181819,4.363636363636363,1.6363636363636365,0.2727272727272727,2.272727272727273,0.18181818181818182,3.909090909090909,0.45454545454545453
1,8,2.25,1.25,1.0,3.75,1.75,0.0,1.875,0.125,3.625,0.125
2,16,2.125,1.25,0.875,3.8125,1.625,0.0,2.1875,0.0,3.8125,0.0
3,21,2.2857142857142856,1.5238095238095237,0.7619047619047619,3.0,1.3333333333333333,0.09523809523809523,1.5238095238095237,0.047619047619047616,2.857142857142857,0.14285714285714285
4,24,2.875,1.7916666666666667,1.0833333333333333,3.1666666666666665,1.0833333333333333,0.125,1.9166666666666667,0.041666666666666664,3.0,0.16666666666666666
5,32,2.46875,1.46875,1.0,2.84375,1.34375,0.0625,1.3125,0.125,2.65625,0.1875
6,27,2.7777777777777777,1.8518518518518519,0.9259259259259259,3.7777777777777777,1.2592592592592593,0.07407407407407407,2.259259259259259,0.18518518518518517,3.5185185185185186,0.25925925925925924
7,34,2.235294117647059,1.5588235294117647,0.6764705882352942,3.0588235294117645,1.1764705882352942,0.0,1.7647058823529411,0.11764705882352941,2.9411764705882355,0.11764705882352941
8,31,2.6129032258064515,1.7419354838709677,0.8709677419354839,3.3870967741935485,1.1935483870967742,0.22580645161290322,1.8709677419354838,0.0967741935483871,3.064516129032258,0.3225806451612903
9,25,2.6,1.68,0.92,3.24,1.24,0.04,1.88,0.08,3.12,0.12
10,25,3.04,1.88,1.16,4.08,1.8,0.04,2.12,0.12,3.92,0.16
11,21,3.0476190476190474,1.619047619047619,1.4285714285714286,3.4285714285714284,1.2380952380952381,0.047619047619047616,2.142857142857143,0.0,3.380952380952381,0.047619047619047616
12,18,2.6666666666666665,1.4444444444444444,1.2222222222222223,4.0,1.6111111111111112,0.05555555555555555,2.2222222222222223,0.1111111111111111,3.8333333333333335,0.16666666666666666
13,10,2.6,1.3,1.3,4.1,1.9,0.1,1.9,0.2,3.8,0.3
14,13,3.5384615384615383,1.9230769230769231,1.6153846153846154,3.6923076923076925,1.8461538461538463,0.0,1.8461538461538463,0.0,3.6923076923076925,0.0
15,13,3.1538461538461537,1.9230769230769231,1.2307692307692308,3.8461538461538463,1.5384615384615385,0.0,2.076923076923077,0.23076923076923078,3.6153846153846154,0.23076923076923078
16,11,2.090909090909091,1.2727272727272727,0.8181818181818182,3.4545454545454546,1.5454545454545454,0.09090909090909091,1.7272727272727273,0.09090909090909091,3.272727272727273,0.18181818181818182
17,5,3.8,1.2,2.6,2.8,0.6,0.2,2.0,0.0,2.6,0.2
18,4,3.5,1.5,2.0,4.25,1.25,0.25,2.75,0.0,4.0,0.25
19,2,3.5,1.0,2.5,1.5,1.0,0.0,0.5,0.0,1.5,0.0
