Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,3,2.6666666666666665,1.0,1.6666666666666667,1.6666666666666667,1.0,0.0,0.6666666666666666,0.0,1.6666666666666667,0.0
2,1,5.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
3,1,2.0,1.0,1.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
4,4,2.75,0.5,2.25,2.75,1.25,0.25,1.25,0.0,2.5,0.25
5,1,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7,2,1.5,0.5,1.0,4.5,1.0,0.5,2.5,0.5,3.5,1.0
8,3,1.3333333333333333,0.6666666666666666,0.6666666666666666,4.333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,4.0,0.3333333333333333
9,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
10,3,2.3333333333333335,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,0.0,2.6666666666666665,0.0
11,3,1.6666666666666667,0.6666666666666666,1.0,3.0,1.6666666666666667,0.0,1.3333333333333333,0.0,3.0,0.0
12,1,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
13,1,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
14,1,1.0,1.0,0.0,7.0,3.0,0.0,4.0,0.0,7.0,0.0
15,2,1.5,0.0,1.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
