Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
1,7,2.7142857142857144,1.0,1.7142857142857142,3.142857142857143,1.1428571428571428,0.14285714285714285,1.5714285714285714,0.2857142857142857,2.7142857142857144,0.42857142857142855
2,5,2.4,1.0,1.4,4.2,1.2,0.0,2.8,0.2,4.0,0.2
3,4,3.0,1.25,1.75,5.0,1.25,0.0,3.75,0.0,5.0,0.0
4,7,2.857142857142857,1.8571428571428572,1.0,3.142857142857143,1.7142857142857142,0.0,1.1428571428571428,0.2857142857142857,2.857142857142857,0.2857142857142857
5,8,2.625,1.375,1.25,3.125,1.25,0.125,1.75,0.0,3.0,0.125
6,5,2.2,0.8,1.4,4.0,1.6,0.2,1.8,0.4,3.4,0.6
7,7,2.0,1.0,1.0,3.2857142857142856,1.8571428571428572,0.2857142857142857,1.1428571428571428,0.0,3.0,0.2857142857142857
8,6,3.1666666666666665,1.5,1.6666666666666667,4.666666666666667,2.0,0.16666666666666666,2.0,0.5,4.0,0.6666666666666666
9,9,2.5555555555555554,0.7777777777777778,1.7777777777777777,4.111111111111111,2.0,0.0,1.7777777777777777,0.3333333333333333,3.7777777777777777,0.3333333333333333
10,8,3.125,1.5,1.625,4.0,1.25,0.25,2.375,0.125,3.625,0.375
11,3,1.3333333333333333,0.3333333333333333,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
12,11,2.727272727272727,0.9090909090909091,1.8181818181818181,3.090909090909091,1.3636363636363635,0.18181818181818182,1.4545454545454546,0.09090909090909091,2.8181818181818183,0.2727272727272727
13,2,3.5,2.0,1.5,1.5,0.0,0.0,1.5,0.0,1.5,0.0
14,4,1.75,0.25,1.5,2.25,0.75,0.25,1.25,0.0,2.0,0.25
15,3,1.6666666666666667,1.0,0.6666666666666666,4.333333333333333,2.6666666666666665,0.0,1.6666666666666667,0.0,4.333333333333333,0.0
16,1,4.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
17,2,2.0,1.5,0.5,3.5,1.5,0.5,1.5,0.0,3.0,0.5
18,1,5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
19,1,6.0,1.0,5.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
