Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,4,3.5,3.25,0.25,1.75,0.5,0.0,1.25,0.0,1.75,0.0
1,1,2.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0
2,2,4.0,2.5,1.5,4.0,0.0,0.0,4.0,0.0,4.0,0.0
3,2,3.0,1.5,1.5,1.5,0.5,0.0,1.0,0.0,1.5,0.0
4,1,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
5,4,1.5,1.25,0.25,2.75,0.5,0.0,2.0,0.25,2.5,0.25
6,1,3.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,3.0,1.0
7,1,3.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
8,2,2.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,1.0,0.0,1.0,2.0,1.5,0.0,0.5,0.0,2.0,0.0
10,5,2.2,0.8,1.4,1.8,0.2,0.0,1.6,0.0,1.8,0.0
11,3,3.0,1.0,2.0,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,0.0,3.3333333333333335,0.0
13,1,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
14,2,2.0,1.0,1.0,1.5,0.0,0.0,1.5,0.0,1.5,0.0
15,2,1.0,0.5,0.5,3.0,0.5,0.0,2.5,0.0,3.0,0.0
17,2,3.0,2.0,1.0,3.5,0.5,0.0,2.5,0.5,3.0,0.5
18,2,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
20,1,1.0,0.0,1.0,8.0,2.0,0.0,6.0,0.0,8.0,0.0
