Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,2,2.5,2.0,0.5,6.5,3.0,0.0,3.5,0.0,6.5,0.0
0,3,3.6666666666666665,2.0,1.6666666666666667,3.6666666666666665,1.6666666666666667,0.0,2.0,0.0,3.6666666666666665,0.0
1,2,4.0,1.5,2.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
2,5,1.8,0.4,1.4,3.6,1.2,0.0,2.4,0.0,3.6,0.0
3,3,4.666666666666667,2.3333333333333335,2.3333333333333335,3.6666666666666665,1.6666666666666667,0.0,2.0,0.0,3.6666666666666665,0.0
4,4,1.25,1.0,0.25,4.0,1.5,0.0,2.5,0.0,4.0,0.0
5,4,2.75,1.25,1.5,3.5,1.75,0.0,1.25,0.5,3.0,0.5
6,9,3.6666666666666665,2.111111111111111,1.5555555555555556,3.4444444444444446,1.3333333333333333,0.1111111111111111,2.0,0.0,3.3333333333333335,0.1111111111111111
7,4,2.25,1.5,0.75,3.25,1.25,0.0,2.0,0.0,3.25,0.0
8,11,2.8181818181818183,1.1818181818181819,1.6363636363636365,3.3636363636363638,1.6363636363636365,0.09090909090909091,1.5454545454545454,0.09090909090909091,3.1818181818181817,0.18181818181818182
9,5,1.8,1.2,0.6,3.8,1.4,0.2,2.2,0.0,3.6,0.2
10,5,2.8,1.6,1.2,4.4,2.0,0.0,2.4,0.0,4.4,0.0
11,2,3.5,3.0,0.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
12,3,4.666666666666667,3.3333333333333335,1.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0
13,5,2.6,1.6,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
14,4,2.75,0.75,2.0,4.75,2.5,0.0,2.25,0.0,4.75,0.0
15,1,2.0,0.0,2.0,7.0,4.0,1.0,2.0,0.0,6.0,1.0
16,2,3.0,2.0,1.0,5.0,2.5,0.0,2.0,0.5,4.5,0.5
17,1,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
20,1,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
