Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,5,1.6,1.0,0.6,3.8,1.6,0.4,1.8,0.0,3.4,0.4
1,8,2.0,0.875,1.125,2.25,0.625,0.125,1.375,0.125,2.0,0.25
2,3,2.0,1.0,1.0,2.0,0.6666666666666666,0.0,1.3333333333333333,0.0,2.0,0.0
3,6,2.8333333333333335,0.6666666666666666,2.1666666666666665,3.6666666666666665,2.1666666666666665,0.0,1.5,0.0,3.6666666666666665,0.0
4,7,2.142857142857143,1.1428571428571428,1.0,3.5714285714285716,0.8571428571428571,0.14285714285714285,2.2857142857142856,0.2857142857142857,3.142857142857143,0.42857142857142855
5,7,2.5714285714285716,1.5714285714285714,1.0,2.857142857142857,1.2857142857142858,0.0,1.5714285714285714,0.0,2.857142857142857,0.0
6,12,2.5,1.1666666666666667,1.3333333333333333,2.4166666666666665,1.0,0.08333333333333333,1.25,0.08333333333333333,2.25,0.16666666666666666
7,9,3.0,2.0,1.0,4.0,1.7777777777777777,0.0,2.0,0.2222222222222222,3.7777777777777777,0.2222222222222222
8,15,2.7333333333333334,1.2,1.5333333333333334,2.933333333333333,1.4,0.2,1.0666666666666667,0.26666666666666666,2.466666666666667,0.4666666666666667
9,10,1.9,1.0,0.9,2.7,1.2,0.0,1.5,0.0,2.7,0.0
10,16,2.625,1.4375,1.1875,2.75,1.0625,0.0,1.625,0.0625,2.6875,0.0625
11,8,3.5,1.375,2.125,2.625,1.125,0.25,1.25,0.0,2.375,0.25
12,6,4.0,2.5,1.5,3.0,1.8333333333333333,0.0,1.0,0.16666666666666666,2.8333333333333335,0.16666666666666666
13,4,3.75,2.25,1.5,3.5,1.25,0.25,1.5,0.5,2.75,0.75
14,10,2.7,1.3,1.4,2.8,1.3,0.0,1.5,0.0,2.8,0.0
15,5,2.4,1.6,0.8,3.0,1.4,0.0,1.6,0.0,3.0,0.0
16,3,1.6666666666666667,0.0,1.6666666666666667,5.0,2.6666666666666665,0.0,2.3333333333333335,0.0,5.0,0.0
17,4,2.75,1.75,1.0,2.75,1.5,0.0,1.25,0.0,2.75,0.0
18,1,6.0,4.0,2.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
19,1,2.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0
20,1,2.0,1.0,1.0,5.0,1.0,0.0,4.0,0.0,5.0,0.0
