Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
2,1,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
4,1,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
5,2,5.5,2.0,3.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0
6,2,1.5,1.0,0.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
7,4,3.0,1.75,1.25,1.75,0.25,0.0,1.25,0.25,1.5,0.25
8,2,3.5,2.5,1.0,4.0,1.5,0.5,1.5,0.5,3.0,1.0
9,1,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
10,1,6.0,5.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0
12,1,1.0,1.0,0.0,7.0,3.0,0.0,4.0,0.0,7.0,0.0
14,1,1.0,1.0,0.0,6.0,3.0,0.0,3.0,0.0,6.0,0.0
15,3,3.0,2.3333333333333335,0.6666666666666666,5.0,2.3333333333333335,0.0,2.6666666666666665,0.0,5.0,0.0
