Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
0,7,1.1428571428571428,1.0,0.14285714285714285,2.857142857142857,1.1428571428571428,0.0,1.7142857142857142,0.0,2.857142857142857,0.0
1,6,3.5,1.5,2.0,4.0,1.3333333333333333,0.0,2.6666666666666665,0.0,4.0,0.0
2,6,1.8333333333333333,1.1666666666666667,0.6666666666666666,3.5,1.5,0.0,1.8333333333333333,0.16666666666666666,3.3333333333333335,0.16666666666666666
3,14,2.0714285714285716,1.3571428571428572,0.7142857142857143,3.5,1.3571428571428572,0.0,2.142857142857143,0.0,3.5,0.0
4,12,1.9166666666666667,1.0,0.9166666666666666,3.4166666666666665,1.6666666666666667,0.08333333333333333,1.5833333333333333,0.08333333333333333,3.25,0.16666666666666666
5,13,2.4615384615384617,1.0769230769230769,1.3846153846153846,2.230769230769231,1.0769230769230769,0.07692307692307693,1.0769230769230769,0.0,2.1538461538461537,0.07692307692307693
6,11,1.9090909090909092,0.9090909090909091,1.0,3.4545454545454546,1.6363636363636365,0.09090909090909091,1.6363636363636365,0.09090909090909091,3.272727272727273,0.18181818181818182
7,17,2.1176470588235294,1.0588235294117647,1.0588235294117647,3.9411764705882355,1.6470588235294117,0.11764705882352941,2.0588235294117645,0.11764705882352941,3.7058823529411766,0.23529411764705882
8,14,2.7142857142857144,1.6428571428571428,1.0714285714285714,3.142857142857143,1.0714285714285714,0.07142857142857142,2.0,0.0,3.0714285714285716,0.07142857142857142
9,11,2.727272727272727,1.1818181818181819,1.5454545454545454,2.3636363636363638,0.9090909090909091,0.0,1.4545454545454546,0.0,2.3636363636363638,0.0
10,14,3.142857142857143,1.3571428571428572,1.7857142857142858,2.357142857142857,1.4285714285714286,0.07142857142857142,0.8571428571428571,0.0,2.2857142857142856,0.07142857142857142
11,6,1.6666666666666667,1.1666666666666667,0.5,3.0,1.0,0.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,0.3333333333333333
12,6,3.6666666666666665,1.6666666666666667,2.0,4.333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,4.0,0.3333333333333333
13,10,3.6,2.2,1.4,3.8,1.8,0.0,1.8,0.2,3.6,0.2
14,7,2.7142857142857144,1.0,1.7142857142857142,4.857142857142857,2.5714285714285716,0.14285714285714285,2.142857142857143,0.0,4.714285714285714,0.14285714285714285
15,9,2.7777777777777777,1.0,1.7777777777777777,3.6666666666666665,1.5555555555555556,0.1111111111111111,1.8888888888888888,0.1111111111111111,3.4444444444444446,0.2222222222222222
16,5,3.2,1.2,2.0,4.0,2.4,0.0,1.6,0.0,4.0,0.0
17,1,2.0,1.0,1.0,8.0,3.0,0.0,5.0,0.0,8.0,0.0
18,1,3.0,2.0,1.0,7.0,2.0,0.0,4.0,1.0,6.0,1.0
