Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,2.6,1.2,1.4,2.8,1.4,0.2,1.2,0.0,2.6,0.2
1,3,4.333333333333333,2.3333333333333335,2.0,3.6666666666666665,1.3333333333333333,0.0,2.0,0.3333333333333333,3.3333333333333335,0.3333333333333333
2,2,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
3,5,3.2,1.6,1.6,4.8,2.6,0.0,2.2,0.0,4.8,0.0
4,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,5.666666666666667,2.6666666666666665,0.0,3.0,0.0,5.666666666666667,0.0
5,9,3.2222222222222223,1.4444444444444444,1.7777777777777777,3.3333333333333335,1.1111111111111112,0.1111111111111111,2.0,0.1111111111111111,3.111111111111111,0.2222222222222222
6,9,3.0,1.6666666666666667,1.3333333333333333,3.6666666666666665,1.4444444444444444,0.1111111111111111,1.8888888888888888,0.2222222222222222,3.3333333333333335,0.3333333333333333
7,6,2.1666666666666665,0.5,1.6666666666666667,3.3333333333333335,2.0,0.0,1.3333333333333333,0.0,3.3333333333333335,0.0
8,10,1.9,1.1,0.8,2.1,0.8,0.0,1.0,0.3,1.8,0.3
9,5,2.2,1.8,0.4,4.8,2.0,0.0,2.8,0.0,4.8,0.0
10,8,2.875,1.5,1.375,2.5,1.25,0.0,1.0,0.25,2.25,0.25
11,6,3.0,1.0,2.0,3.1666666666666665,2.0,0.0,1.1666666666666667,0.0,3.1666666666666665,0.0
12,2,3.5,1.5,2.0,3.0,0.5,0.0,2.5,0.0,3.0,0.0
13,3,3.3333333333333335,1.3333333333333333,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
14,5,2.8,1.2,1.6,2.0,1.2,0.0,0.8,0.0,2.0,0.0
15,3,2.0,1.0,1.0,1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.3333333333333333,0.0
16,4,2.5,1.5,1.0,3.25,1.25,0.0,2.0,0.0,3.25,0.0
17,4,2.5,1.0,1.5,1.5,1.0,0.0,0.5,0.0,1.5,0.0
18,1,2.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0
20,1,2.0,1.0,1.0,5.0,4.0,0.0,1.0,0.0,5.0,0.0
