Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,2.0,0.0,7.0,3.0,0.0,3.0,1.0,6.0,1.0
1,1,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2,6,2.1666666666666665,1.1666666666666667,1.0,3.8333333333333335,1.8333333333333333,0.16666666666666666,1.3333333333333333,0.5,3.1666666666666665,0.6666666666666666
3,6,2.1666666666666665,0.5,1.6666666666666667,3.8333333333333335,2.6666666666666665,0.16666666666666666,1.0,0.0,3.6666666666666665,0.16666666666666666
4,8,3.125,1.25,1.875,2.625,1.125,0.125,1.375,0.0,2.5,0.125
5,3,4.333333333333333,2.6666666666666665,1.6666666666666667,2.3333333333333335,1.0,0.0,1.3333333333333333,0.0,2.3333333333333335,0.0
6,3,2.3333333333333335,1.0,1.3333333333333333,4.333333333333333,1.0,0.0,3.3333333333333335,0.0,4.333333333333333,0.0
7,4,2.25,1.0,1.25,3.0,1.75,0.25,1.0,0.0,2.75,0.25
8,16,2.75,1.4375,1.3125,4.1875,1.5,0.125,2.5625,0.0,4.0625,0.125
9,16,1.9375,1.0625,0.875,3.0625,1.125,0.0625,1.6875,0.1875,2.8125,0.25
10,15,2.533333333333333,1.3333333333333333,1.2,3.2,1.6,0.06666666666666667,1.4666666666666666,0.06666666666666667,3.066666666666667,0.13333333333333333
11,12,2.75,1.5833333333333333,1.1666666666666667,3.25,1.5833333333333333,0.08333333333333333,1.5,0.08333333333333333,3.0833333333333335,0.16666666666666666
12,8,2.125,1.125,1.0,3.25,1.375,0.25,1.625,0.0,3.0,0.25
13,5,1.2,0.4,0.8,3.4,1.0,0.0,2.4,0.0,3.4,0.0
14,6,4.333333333333333,3.1666666666666665,1.1666666666666667,3.1666666666666665,1.3333333333333333,0.0,1.8333333333333333,0.0,3.1666666666666665,0.0
15,5,2.4,1.6,0.8,2.0,1.2,0.0,0.8,0.0,2.0,0.0
16,8,3.125,1.5,1.625,2.875,1.375,0.0,1.375,0.125,2.75,0.125
17,6,2.3333333333333335,1.5,0.8333333333333334,3.8333333333333335,1.5,0.16666666666666666,1.6666666666666667,0.5,3.1666666666666665,0.6666666666666666
18,3,3.0,2.3333333333333335,0.6666666666666666,5.333333333333333,2.0,0.0,3.0,0.3333333333333333,5.0,0.3333333333333333
19,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
