Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,3.0,1.0,2.0,4.0,0.0,1.0,3.0,0.0,3.0,1.0
0,4,2.0,0.25,1.75,2.75,1.25,0.0,1.5,0.0,2.75,0.0
1,2,1.0,1.0,0.0,3.0,1.5,0.5,1.0,0.0,2.5,0.5
2,3,0.3333333333333333,0.0,0.3333333333333333,4.333333333333333,1.6666666666666667,0.0,2.6666666666666665,0.0,4.333333333333333,0.0
3,1,2.0,1.0,1.0,6.0,2.0,1.0,3.0,0.0,5.0,1.0
4,2,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
5,3,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,0.3333333333333333,1.0,0.0,2.0,0.3333333333333333
6,5,2.6,1.0,1.6,1.8,0.8,0.0,1.0,0.0,1.8,0.0
7,6,2.1666666666666665,1.5,0.6666666666666666,4.666666666666667,2.8333333333333335,0.3333333333333333,1.3333333333333333,0.16666666666666666,4.166666666666667,0.5
8,5,4.0,2.0,2.0,3.0,1.4,0.0,1.6,0.0,3.0,0.0
9,5,2.4,1.2,1.2,4.0,1.6,0.0,2.2,0.2,3.8,0.2
10,4,2.25,0.75,1.5,3.5,2.25,0.0,1.25,0.0,3.5,0.0
11,2,3.5,1.5,2.0,3.0,1.5,0.0,1.0,0.5,2.5,0.5
12,2,1.5,1.0,0.5,1.5,1.5,0.0,0.0,0.0,1.5,0.0
13,3,1.0,1.0,0.0,5.0,0.6666666666666666,0.0,3.6666666666666665,0.6666666666666666,4.333333333333333,0.6666666666666666
14,1,3.0,1.0,2.0,10.0,1.0,1.0,8.0,0.0,9.0,1.0
15,2,1.5,0.5,1.0,5.5,1.0,0.5,4.0,0.0,5.0,0.5
16,3,3.3333333333333335,1.6666666666666667,1.6666666666666667,4.666666666666667,1.6666666666666667,0.0,3.0,0.0,4.666666666666667,0.0
17,2,2.0,0.0,2.0,4.0,1.0,0.5,2.5,0.0,3.5,0.5
22,1,5.0,0.0,5.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
