Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,5.0,1.5,3.5,2.5,1.0,0.5,1.0,0.0,2.0,0.5
2,5,3.2,1.2,2.0,2.4,1.2,0.0,1.2,0.0,2.4,0.0
3,3,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0
4,1,6.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
5,5,2.8,1.0,1.8,3.0,1.0,0.2,1.8,0.0,2.8,0.2
6,6,3.3333333333333335,2.5,0.8333333333333334,2.5,1.3333333333333333,0.0,1.1666666666666667,0.0,2.5,0.0
7,6,1.0,0.5,0.5,3.1666666666666665,1.1666666666666667,0.16666666666666666,1.8333333333333333,0.0,3.0,0.16666666666666666
8,2,2.5,0.5,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
9,8,2.5,1.625,0.875,3.5,1.5,0.0,1.875,0.125,3.375,0.125
10,1,4.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
11,3,2.0,1.0,1.0,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0
12,2,1.5,0.0,1.5,1.5,1.0,0.0,0.5,0.0,1.5,0.0
13,3,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,0.3333333333333333,0.0,1.6666666666666667,0.0
14,1,1.0,0.0,1.0,7.0,3.0,1.0,2.0,1.0,5.0,2.0
15,3,2.6666666666666665,1.3333333333333333,1.3333333333333333,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,0.0,3.3333333333333335,0.0
16,2,4.0,1.5,2.5,2.5,0.5,0.0,2.0,0.0,2.5,0.0
17,2,2.5,1.0,1.5,5.0,2.0,0.5,2.5,0.0,4.5,0.5
19,1,1.0,1.0,0.0,5.0,0.0,0.0,4.0,1.0,4.0,1.0
21,1,2.0,1.0,1.0,7.0,2.0,0.0,4.0,1.0,6.0,1.0
