Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
2,1,3.0,2.0,1.0,8.0,3.0,0.0,5.0,0.0,8.0,0.0
3,1,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
4,1,3.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
5,1,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
6,1,2.0,1.0,1.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
7,1,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
8,1,4.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
9,5,2.2,1.2,1.0,3.2,1.0,0.0,2.2,0.0,3.2,0.0
10,1,3.0,1.0,2.0,9.0,3.0,0.0,5.0,1.0,8.0,1.0
12,1,3.0,3.0,0.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
13,3,1.6666666666666667,0.6666666666666666,1.0,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,0.0,3.3333333333333335,0.0
14,1,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
16,1,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
