Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
0,2,0.5,0.5,0.0,1.5,0.5,0.0,1.0,0.0,1.5,0.0
1,6,2.0,1.5,0.5,2.8333333333333335,1.0,0.16666666666666666,1.6666666666666667,0.0,2.6666666666666665,0.16666666666666666
2,8,2.25,1.5,0.75,3.125,1.0,0.375,1.625,0.125,2.625,0.5
3,7,3.142857142857143,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.1428571428571428,0.0,0.42857142857142855,0.0,1.5714285714285714,0.0
4,14,1.8571428571428572,0.9285714285714286,0.9285714285714286,2.4285714285714284,1.0714285714285714,0.0,1.2857142857142858,0.07142857142857142,2.357142857142857,0.07142857142857142
5,15,2.2666666666666666,1.2666666666666666,1.0,3.0,0.7333333333333333,0.13333333333333333,2.1333333333333333,0.0,2.8666666666666667,0.13333333333333333
6,19,2.6842105263157894,1.4736842105263157,1.2105263157894737,2.6315789473684212,0.7894736842105263,0.15789473684210525,1.5263157894736843,0.15789473684210525,2.3157894736842106,0.3157894736842105
7,12,3.3333333333333335,1.9166666666666667,1.4166666666666667,3.0,1.3333333333333333,0.0,1.6666666666666667,0.0,3.0,0.0
8,18,2.8333333333333335,1.4444444444444444,1.3888888888888888,3.0,1.3888888888888888,0.0,1.4444444444444444,0.16666666666666666,2.8333333333333335,0.16666666666666666
9,19,2.526315789473684,1.2105263157894737,1.3157894736842106,3.473684210526316,1.8421052631578947,0.10526315789473684,1.4736842105263157,0.05263157894736842,3.3157894736842106,0.15789473684210525
10,17,2.235294117647059,1.411764705882353,0.8235294117647058,3.0,1.6470588235294117,0.0,1.3529411764705883,0.0,3.0,0.0
11,13,2.923076923076923,1.4615384615384615,1.4615384615384615,3.076923076923077,1.0769230769230769,0.07692307692307693,1.8461538461538463,0.07692307692307693,2.923076923076923,0.15384615384615385
12,8,3.625,2.125,1.5,3.5,1.125,0.125,2.125,0.125,3.25,0.25
13,18,2.5555555555555554,1.3333333333333333,1.2222222222222223,2.2777777777777777,1.0555555555555556,0.1111111111111111,1.1111111111111112,0.0,2.1666666666666665,0.1111111111111111
14,7,2.7142857142857144,1.5714285714285714,1.1428571428571428,3.857142857142857,2.0,0.2857142857142857,1.5714285714285714,0.0,3.5714285714285716,0.2857142857142857
15,12,2.5,1.4166666666666667,1.0833333333333333,3.6666666666666665,1.4166666666666667,0.0,2.1666666666666665,0.08333333333333333,3.5833333333333335,0.08333333333333333
16,6,2.5,1.3333333333333333,1.1666666666666667,2.1666666666666665,1.0,0.16666666666666666,1.0,0.0,2.0,0.16666666666666666
17,8,2.5,1.875,0.625,3.5,1.625,0.0,1.625,0.25,3.25,0.25
18,4,3.0,1.5,1.5,2.25,1.0,0.0,1.25,0.0,2.25,0.0
19,1,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
20,1,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
