Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,3,1.6666666666666667,1.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,2.3333333333333335,0.3333333333333333
-1,1,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0,6,1.3333333333333333,0.6666666666666666,0.6666666666666666,3.1666666666666665,1.3333333333333333,0.16666666666666666,1.6666666666666667,0.0,3.0,0.16666666666666666
1,12,2.9166666666666665,1.3333333333333333,1.5833333333333333,3.5833333333333335,1.9166666666666667,0.08333333333333333,1.5,0.08333333333333333,3.4166666666666665,0.16666666666666666
2,13,2.5384615384615383,1.1538461538461537,1.3846153846153846,3.6923076923076925,1.7692307692307692,0.15384615384615385,1.6153846153846154,0.15384615384615385,3.3846153846153846,0.3076923076923077
3,11,1.6363636363636365,1.1818181818181819,0.45454545454545453,3.090909090909091,1.1818181818181819,0.09090909090909091,1.7272727272727273,0.09090909090909091,2.909090909090909,0.18181818181818182
4,11,2.0,1.1818181818181819,0.8181818181818182,4.818181818181818,2.909090909090909,0.0,1.8181818181818181,0.09090909090909091,4.7272727272727275,0.09090909090909091
5,16,2.5,1.5625,0.9375,3.75,1.9375,0.0,1.6875,0.125,3.625,0.125
6,9,2.3333333333333335,1.5555555555555556,0.7777777777777778,4.111111111111111,2.0,0.0,1.8888888888888888,0.2222222222222222,3.888888888888889,0.2222222222222222
7,14,2.5714285714285716,1.3571428571428572,1.2142857142857142,2.5,1.2857142857142858,0.0,1.2142857142857142,0.0,2.5,0.0
8,14,3.357142857142857,1.9285714285714286,1.4285714285714286,3.142857142857143,1.3571428571428572,0.14285714285714285,1.6428571428571428,0.0,3.0,0.14285714285714285
9,16,2.0625,1.25,0.8125,2.9375,1.5625,0.125,1.25,0.0,2.8125,0.125
10,18,2.5,1.6111111111111112,0.8888888888888888,3.3333333333333335,1.7222222222222223,0.05555555555555555,1.4444444444444444,0.1111111111111111,3.1666666666666665,0.16666666666666666
11,9,2.6666666666666665,1.0,1.6666666666666667,3.4444444444444446,1.2222222222222223,0.1111111111111111,1.8888888888888888,0.2222222222222222,3.111111111111111,0.3333333333333333
12,8,2.125,0.875,1.25,3.0,1.375,0.0,1.625,0.0,3.0,0.0
13,10,2.7,1.3,1.4,1.9,1.0,0.0,0.9,0.0,1.9,0.0
14,12,2.5,0.9166666666666666,1.5833333333333333,3.9166666666666665,2.25,0.16666666666666666,1.5,0.0,3.75,0.16666666666666666
15,3,2.6666666666666665,1.0,1.6666666666666667,5.666666666666667,2.3333333333333335,0.0,3.3333333333333335,0.0,5.666666666666667,0.0
16,2,2.0,0.5,1.5,5.0,2.5,0.0,2.5,0.0,5.0,0.0
17,2,1.5,1.5,0.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
