Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,1.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
-1,2,2.0,0.5,1.5,3.0,1.0,0.0,2.0,0.0,3.0,0.0
0,8,2.125,1.0,1.125,3.5,1.625,0.0,1.75,0.125,3.375,0.125
1,15,1.9333333333333333,0.7333333333333333,1.2,3.533333333333333,1.8666666666666667,0.0,1.6,0.06666666666666667,3.466666666666667,0.06666666666666667
2,12,2.0833333333333335,1.1666666666666667,0.9166666666666666,3.75,1.6666666666666667,0.08333333333333333,1.9166666666666667,0.08333333333333333,3.5833333333333335,0.16666666666666666
3,14,3.0,1.1428571428571428,1.8571428571428572,4.142857142857143,1.8571428571428572,0.14285714285714285,1.9285714285714286,0.21428571428571427,3.7857142857142856,0.35714285714285715
4,23,2.1739130434782608,1.173913043478261,1.0,3.347826086956522,1.2608695652173914,0.0,1.9130434782608696,0.17391304347826086,3.1739130434782608,0.17391304347826086
5,25,2.08,0.92,1.16,3.76,1.68,0.12,1.92,0.04,3.6,0.16
6,17,2.3529411764705883,1.0588235294117647,1.2941176470588236,4.0588235294117645,1.7647058823529411,0.058823529411764705,2.176470588235294,0.058823529411764705,3.9411764705882355,0.11764705882352941
7,21,2.619047619047619,1.380952380952381,1.2380952380952381,3.761904761904762,1.6666666666666667,0.047619047619047616,1.9047619047619047,0.14285714285714285,3.5714285714285716,0.19047619047619047
8,28,1.8214285714285714,0.8214285714285714,1.0,3.7142857142857144,1.75,0.03571428571428571,1.7857142857142858,0.14285714285714285,3.5357142857142856,0.17857142857142858
9,15,2.3333333333333335,1.2,1.1333333333333333,4.0,1.7333333333333334,0.06666666666666667,2.1333333333333333,0.06666666666666667,3.8666666666666667,0.13333333333333333
10,21,2.238095238095238,1.0476190476190477,1.1904761904761905,3.8095238095238093,1.8095238095238095,0.0,1.9523809523809523,0.047619047619047616,3.761904761904762,0.047619047619047616
11,12,2.6666666666666665,1.0833333333333333,1.5833333333333333,4.166666666666667,1.4166666666666667,0.16666666666666666,2.4166666666666665,0.16666666666666666,3.8333333333333335,0.3333333333333333
12,20,2.55,1.2,1.35,4.1,2.15,0.15,1.65,0.15,3.8,0.3
13,9,3.4444444444444446,1.6666666666666667,1.7777777777777777,3.7777777777777777,1.5555555555555556,0.0,2.2222222222222223,0.0,3.7777777777777777,0.0
14,8,3.25,1.75,1.5,3.875,1.5,0.125,2.0,0.25,3.5,0.375
15,4,2.25,1.0,1.25,2.25,0.75,0.0,1.5,0.0,2.25,0.0
16,6,2.0,0.5,1.5,3.3333333333333335,1.3333333333333333,0.16666666666666666,1.8333333333333333,0.0,3.1666666666666665,0.16666666666666666
17,3,3.0,0.3333333333333333,2.6666666666666665,3.3333333333333335,2.0,0.0,1.3333333333333333,0.0,3.3333333333333335,0.0
18,2,3.0,1.5,1.5,4.0,3.0,0.0,1.0,0.0,4.0,0.0
