Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,4.5,2.5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1,3,3.3333333333333335,2.0,1.3333333333333333,5.0,1.3333333333333333,0.0,3.3333333333333335,0.3333333333333333,4.666666666666667,0.3333333333333333
3,6,2.3333333333333335,1.6666666666666667,0.6666666666666666,4.333333333333333,1.5,0.0,2.8333333333333335,0.0,4.333333333333333,0.0
4,8,2.875,1.0,1.875,3.75,1.5,0.125,2.125,0.0,3.625,0.125
5,12,3.3333333333333335,1.5,1.8333333333333333,3.9166666666666665,1.6666666666666667,0.0,2.25,0.0,3.9166666666666665,0.0
6,11,2.909090909090909,1.8181818181818181,1.0909090909090908,2.6363636363636362,1.1818181818181819,0.0,1.4545454545454546,0.0,2.6363636363636362,0.0
7,7,3.857142857142857,2.142857142857143,1.7142857142857142,3.7142857142857144,1.7142857142857142,0.14285714285714285,1.8571428571428572,0.0,3.5714285714285716,0.14285714285714285
8,17,2.2941176470588234,0.8823529411764706,1.411764705882353,3.764705882352941,1.4705882352941178,0.058823529411764705,2.176470588235294,0.058823529411764705,3.6470588235294117,0.11764705882352941
9,13,1.6153846153846154,1.1538461538461537,0.46153846153846156,3.6923076923076925,1.3076923076923077,0.0,2.230769230769231,0.15384615384615385,3.5384615384615383,0.15384615384615385
10,15,2.533333333333333,1.2,1.3333333333333333,3.533333333333333,1.5333333333333334,0.06666666666666667,1.9333333333333333,0.0,3.466666666666667,0.06666666666666667
11,9,2.6666666666666665,1.2222222222222223,1.4444444444444444,4.111111111111111,1.5555555555555556,0.0,2.4444444444444446,0.1111111111111111,4.0,0.1111111111111111
12,9,1.6666666666666667,1.1111111111111112,0.5555555555555556,2.7777777777777777,1.0,0.0,1.6666666666666667,0.1111111111111111,2.6666666666666665,0.1111111111111111
13,4,1.75,1.0,0.75,3.75,1.5,0.0,2.0,0.25,3.5,0.25
14,4,3.5,1.5,2.0,2.75,1.5,0.0,1.25,0.0,2.75,0.0
15,8,3.0,1.75,1.25,4.25,1.5,0.125,2.625,0.0,4.125,0.125
16,4,2.75,1.0,1.75,5.25,1.5,0.0,3.75,0.0,5.25,0.0
17,1,1.0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,4.0,1.0
