Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,2,4.0,3.5,0.5,4.0,1.0,0.0,3.0,0.0,4.0,0.0
-1,3,3.3333333333333335,2.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,2.0,0.0,2.6666666666666665,0.0
0,10,2.3,1.7,0.6,2.9,1.1,0.1,1.6,0.1,2.7,0.2
1,6,3.0,2.3333333333333335,0.6666666666666666,2.8333333333333335,1.0,0.0,1.8333333333333333,0.0,2.8333333333333335,0.0
2,15,2.6666666666666665,1.8666666666666667,0.8,4.4,1.8,0.0,2.4,0.2,4.2,0.2
3,15,2.7333333333333334,1.6,1.1333333333333333,2.933333333333333,1.1333333333333333,0.0,1.7333333333333334,0.06666666666666667,2.8666666666666667,0.06666666666666667
4,24,3.625,2.2083333333333335,1.4166666666666667,3.3333333333333335,1.25,0.08333333333333333,1.9583333333333333,0.041666666666666664,3.2083333333333335,0.125
5,31,2.6451612903225805,1.7096774193548387,0.9354838709677419,2.7419354838709675,0.9354838709677419,0.06451612903225806,1.6774193548387097,0.06451612903225806,2.6129032258064515,0.12903225806451613
6,25,2.92,1.96,0.96,3.12,1.4,0.0,1.64,0.08,3.04,0.08
7,22,3.8181818181818183,2.6818181818181817,1.1363636363636365,3.409090909090909,0.8636363636363636,0.09090909090909091,2.272727272727273,0.18181818181818182,3.1363636363636362,0.2727272727272727
8,20,2.65,1.6,1.05,3.2,1.25,0.15,1.7,0.1,2.95,0.25
9,25,2.76,2.0,0.76,2.52,0.96,0.0,1.4,0.16,2.36,0.16
10,26,2.5384615384615383,1.6538461538461537,0.8846153846153846,3.3076923076923075,1.4230769230769231,0.07692307692307693,1.7307692307692308,0.07692307692307693,3.1538461538461537,0.15384615384615385
11,21,2.619047619047619,1.7619047619047619,0.8571428571428571,3.6666666666666665,1.3333333333333333,0.047619047619047616,2.1904761904761907,0.09523809523809523,3.5238095238095237,0.14285714285714285
12,20,3.1,1.95,1.15,3.5,1.2,0.05,2.0,0.25,3.2,0.3
13,16,2.875,1.4375,1.4375,3.6875,1.4375,0.0,2.25,0.0,3.6875,0.0
14,19,2.3157894736842106,1.263157894736842,1.0526315789473684,4.052631578947368,1.736842105263158,0.0,2.263157894736842,0.05263157894736842,4.0,0.05263157894736842
15,16,3.0625,1.625,1.4375,3.25,1.25,0.125,1.75,0.125,3.0,0.25
16,10,2.5,1.2,1.3,4.1,1.8,0.0,2.1,0.2,3.9,0.2
17,12,2.3333333333333335,1.3333333333333333,1.0,2.75,1.1666666666666667,0.0,1.5,0.08333333333333333,2.6666666666666665,0.08333333333333333
18,5,2.8,1.8,1.0,3.6,2.2,0.0,1.4,0.0,3.6,0.0
19,3,1.3333333333333333,0.6666666666666666,0.6666666666666666,4.0,1.6666666666666667,0.0,2.3333333333333335,0.0,4.0,0.0
20,1,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
21,1,3.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
