Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,2,3.0,1.5,1.5,1.0,0.5,0.0,0.5,0.0,1.0,0.0
0,12,2.4166666666666665,1.6666666666666667,0.75,3.3333333333333335,1.6666666666666667,0.0,1.5,0.16666666666666666,3.1666666666666665,0.16666666666666666
1,7,3.7142857142857144,2.2857142857142856,1.4285714285714286,5.285714285714286,2.5714285714285716,0.0,2.4285714285714284,0.2857142857142857,5.0,0.2857142857142857
2,11,3.090909090909091,1.6363636363636365,1.4545454545454546,3.909090909090909,1.8181818181818181,0.09090909090909091,1.9090909090909092,0.09090909090909091,3.727272727272727,0.18181818181818182
3,11,1.7272727272727273,0.8181818181818182,0.9090909090909091,3.0,1.4545454545454546,0.0,1.3636363636363635,0.18181818181818182,2.8181818181818183,0.18181818181818182
4,18,2.8333333333333335,1.2222222222222223,1.6111111111111112,2.8333333333333335,1.2777777777777777,0.0,1.5,0.05555555555555555,2.7777777777777777,0.05555555555555555
5,20,2.3,1.75,0.55,3.15,1.25,0.0,1.75,0.15,3.0,0.15
6,18,3.111111111111111,1.6666666666666667,1.4444444444444444,3.4444444444444446,1.4444444444444444,0.1111111111111111,1.7222222222222223,0.16666666666666666,3.1666666666666665,0.2777777777777778
7,22,3.0,1.5454545454545454,1.4545454545454546,3.272727272727273,1.6818181818181819,0.0,1.5,0.09090909090909091,3.1818181818181817,0.09090909090909091
8,17,2.0,1.1176470588235294,0.8823529411764706,3.5294117647058822,1.1764705882352942,0.0,2.1176470588235294,0.23529411764705882,3.2941176470588234,0.23529411764705882
9,25,2.44,1.08,1.36,3.04,1.08,0.08,1.76,0.12,2.84,0.2
10,26,2.4615384615384617,1.2307692307692308,1.2307692307692308,3.8461538461538463,1.9615384615384615,0.07692307692307693,1.8076923076923077,0.0,3.769230769230769,0.07692307692307693
11,23,2.4782608695652173,1.3043478260869565,1.173913043478261,3.608695652173913,1.6956521739130435,0.043478260869565216,1.826086956521739,0.043478260869565216,3.5217391304347827,0.08695652173913043
12,17,2.823529411764706,1.4705882352941178,1.3529411764705883,3.0,1.588235294117647,0.17647058823529413,1.1176470588235294,0.11764705882352941,2.7058823529411766,0.29411764705882354
13,17,2.8823529411764706,1.411764705882353,1.4705882352941178,3.3529411764705883,1.7058823529411764,0.058823529411764705,1.588235294117647,0.0,3.2941176470588234,0.058823529411764705
14,9,2.4444444444444446,1.0,1.4444444444444444,3.111111111111111,1.5555555555555556,0.0,1.3333333333333333,0.2222222222222222,2.888888888888889,0.2222222222222222
15,8,2.75,1.625,1.125,2.5,0.75,0.125,1.375,0.25,2.125,0.375
16,12,2.8333333333333335,1.3333333333333333,1.5,3.9166666666666665,2.1666666666666665,0.16666666666666666,1.5,0.08333333333333333,3.6666666666666665,0.25
17,8,3.5,1.25,2.25,4.75,2.125,0.0,2.5,0.125,4.625,0.125
18,4,2.75,1.25,1.5,3.75,2.75,0.0,1.0,0.0,3.75,0.0
19,3,3.6666666666666665,1.6666666666666667,2.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
20,3,3.3333333333333335,1.3333333333333333,2.0,3.0,1.6666666666666667,0.3333333333333333,1.0,0.0,2.6666666666666665,0.3333333333333333
23,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
