Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
-1,2,3.0,1.0,2.0,5.0,2.5,0.0,2.5,0.0,5.0,0.0
0,9,2.111111111111111,0.8888888888888888,1.2222222222222223,4.111111111111111,1.5555555555555556,0.1111111111111111,2.3333333333333335,0.1111111111111111,3.888888888888889,0.2222222222222222
1,4,3.75,2.5,1.25,3.75,1.25,0.0,2.25,0.25,3.5,0.25
2,9,2.7777777777777777,1.2222222222222223,1.5555555555555556,3.111111111111111,1.2222222222222223,0.1111111111111111,1.6666666666666667,0.1111111111111111,2.888888888888889,0.2222222222222222
3,9,2.7777777777777777,1.4444444444444444,1.3333333333333333,4.555555555555555,1.8888888888888888,0.0,2.5555555555555554,0.1111111111111111,4.444444444444445,0.1111111111111111
4,4,2.0,0.75,1.25,2.0,0.25,0.0,1.75,0.0,2.0,0.0
5,11,2.1818181818181817,1.0,1.1818181818181819,2.4545454545454546,1.0909090909090908,0.0,1.2727272727272727,0.09090909090909091,2.3636363636363638,0.09090909090909091
6,17,2.5294117647058822,0.9411764705882353,1.588235294117647,3.235294117647059,1.1176470588235294,0.11764705882352941,1.9411764705882353,0.058823529411764705,3.0588235294117645,0.17647058823529413
7,11,2.5454545454545454,1.2727272727272727,1.2727272727272727,4.454545454545454,2.1818181818181817,0.09090909090909091,2.090909090909091,0.09090909090909091,4.2727272727272725,0.18181818181818182
8,14,2.642857142857143,1.0714285714285714,1.5714285714285714,3.7857142857142856,1.6428571428571428,0.07142857142857142,2.0,0.07142857142857142,3.642857142857143,0.14285714285714285
9,10,2.6,1.4,1.2,3.6,1.8,0.0,1.7,0.1,3.5,0.1
10,8,3.125,1.125,2.0,3.875,1.75,0.0,2.125,0.0,3.875,0.0
11,8,2.375,1.0,1.375,3.375,1.625,0.0,1.625,0.125,3.25,0.125
12,9,2.4444444444444446,1.4444444444444444,1.0,3.5555555555555554,1.5555555555555556,0.0,1.8888888888888888,0.1111111111111111,3.4444444444444446,0.1111111111111111
13,6,3.0,1.1666666666666667,1.8333333333333333,2.8333333333333335,1.5,0.16666666666666666,1.1666666666666667,0.0,2.6666666666666665,0.16666666666666666
14,6,1.6666666666666667,1.3333333333333333,0.3333333333333333,3.3333333333333335,1.1666666666666667,0.3333333333333333,1.8333333333333333,0.0,3.0,0.3333333333333333
15,7,2.4285714285714284,0.5714285714285714,1.8571428571428572,3.0,1.2857142857142858,0.0,1.7142857142857142,0.0,3.0,0.0
16,7,2.4285714285714284,0.42857142857142855,2.0,4.285714285714286,2.0,0.0,2.142857142857143,0.14285714285714285,4.142857142857143,0.14285714285714285
